ppo,pdo,tpo,tdo
the reader found the candy for us .,the reader found us the candy .,an aunt fed a pie to us .,an aunt fed us a pie .
the nurse drew the anchor for them .,the nurse drew them the anchor .,an aunt fed a pie to me .,an aunt fed me a pie .
the child bought the juice for them .,the child bought them the juice .,an aunt fed a pie to you .,an aunt fed you a pie .
the kid drew the instrument for you .,the kid drew you the instrument .,an aunt fed a pie to you .,an aunt fed you a pie .
the manager caught the ball for us .,the manager caught us the ball .,an aunt fed a pie to you .,an aunt fed you a pie .
the parent left the tea for me .,the parent left me the tea .,an aunt fed a pie to me .,an aunt fed me a pie .
the champion kept the beer for me .,the champion kept me the beer .,an aunt fed a pie to you .,an aunt fed you a pie .
the worker purchased the bag for you .,the worker purchased you the bag .,an aunt fed a pie to him .,an aunt fed him a pie .
the husband made the crystal for us .,the husband made us the crystal .,a woman sent a beer to us .,a woman sent us a beer .
the pilot found the chicken for us .,the pilot found us the chicken .,a woman sent a beer to him .,a woman sent him a beer .
the colonel drew the log for you .,the colonel drew you the log .,a woman sent a beer to you .,a woman sent you a beer .
the president purchased the cheese for us .,the president purchased us the cheese .,a woman sent a beer to her .,a woman sent her a beer .
the prince left the instrument for her .,the prince left her the instrument .,a woman sent a beer to them .,a woman sent them a beer .
the physician drew the computer for them .,the physician drew them the computer .,a woman sent a beer to us .,a woman sent us a beer .
the kid left the cheese for you .,the kid left you the cheese .,a woman sent a beer to us .,a woman sent us a beer .
the priest caught the knife for you .,the priest caught you the knife .,a woman sent a beer to you .,a woman sent you a beer .
the doctor made the plate for us .,the doctor made us the plate .,a woman sent a beer to you .,a woman sent you a beer .
the lawyer drew the log for him .,the lawyer drew him the log .,a woman sent a beer to us .,a woman sent us a beer .
a guest delivered an anchor for you .,a guest delivered you an anchor .,the employee threw the cheese to you .,the employee threw you the cheese .
a soldier found a coffee for me .,a soldier found me a coffee .,the employee threw the cheese to us .,the employee threw us the cheese .
a singer drew an engine for us .,a singer drew us an engine .,the employee threw the cheese to them .,the employee threw them the cheese .
a winner purchased a chocolate for me .,a winner purchased me a chocolate .,the employee threw the cheese to me .,the employee threw me the cheese .
an opponent delivered a juice for me .,an opponent delivered me a juice .,the employee threw the cheese to her .,the employee threw her the cheese .
a minister got a box for you .,a minister got you a box .,the employee threw the cheese to you .,the employee threw you the cheese .
a friend got a hat for them .,a friend got them a hat .,the employee threw the cheese to us .,the employee threw us the cheese .
a reader purchased a tea for us .,a reader purchased us a tea .,the employee threw the cheese to him .,the employee threw him the cheese .
a child purchased a tea for me .,a child purchased me a tea .,the employee threw the cheese to me .,the employee threw me the cheese .
a mother designed an instrument for him .,a mother designed him an instrument .,the employee threw the cheese to us .,the employee threw us the cheese .
the uncle promised the meal to it .,the uncle promised it the meal .,a worker found a wire for us .,a worker found us a wire .
the priest threw the candy to me .,the priest threw me the candy .,a worker found a wire for you .,a worker found you a wire .
the pilot gave the beer to us .,the pilot gave us the beer .,a worker found a wire for her .,a worker found her a wire .
the child sold the salad to us .,the child sold us the salad .,a worker found a wire for me .,a worker found me a wire .
the writer threw the bell to me .,the writer threw me the bell .,a worker found a wire for me .,a worker found me a wire .
the princess sold the television to you .,the princess sold you the television .,a worker found a wire for me .,a worker found me a wire .
the mayor took the iron to you .,the mayor took you the iron .,a worker found a wire for me .,a worker found me a wire .
the opponent threw the candy to us .,the opponent threw us the candy .,a worker found a wire for you .,a worker found you a wire .
the president promised the plate to you .,the president promised you the plate .,a worker found a wire for them .,a worker found them a wire .
the child sent the tea to him .,the child sent him the tea .,a worker found a wire for me .,a worker found me a wire .
the physician kept the card for them .,the physician kept them the card .,a candidate brought a chocolate to us .,a candidate brought us a chocolate .
the student found the juice for her .,the student found her the juice .,a candidate brought a chocolate to us .,a candidate brought us a chocolate .
the reader purchased the meal for them .,the reader purchased them the meal .,a candidate brought a chocolate to us .,a candidate brought us a chocolate .
the priest left the coffee for me .,the priest left me the coffee .,a candidate brought a chocolate to them .,a candidate brought them a chocolate .
the teacher bought the coffee for me .,the teacher bought me the coffee .,a candidate brought a chocolate to us .,a candidate brought us a chocolate .
the adult kept the coffee for me .,the adult kept me the coffee .,a candidate brought a chocolate to it .,a candidate brought it a chocolate .
the brother saved the log for you .,the brother saved you the log .,a candidate brought a chocolate to us .,a candidate brought us a chocolate .
the student kept the juice for us .,the student kept us the juice .,a candidate brought a chocolate to me .,a candidate brought me a chocolate .
the professor made the card for him .,the professor made him the card .,a candidate brought a chocolate to you .,a candidate brought you a chocolate .
the pilot left the salad for him .,the pilot left him the salad .,a candidate brought a chocolate to us .,a candidate brought us a chocolate .
the woman brought the coat to them .,the woman brought them the coat .,a princess bought a glass for me .,a princess bought me a glass .
the son took the bowl to it .,the son took it the bowl .,a princess bought a glass for you .,a princess bought you a glass .
the chief brought the coffee to me .,the chief brought me the coffee .,a princess bought a glass for me .,a princess bought me a glass .
the minister gave the newspaper to you .,the minister gave you the newspaper .,a princess bought a glass for him .,a princess bought him a glass .
the lady brought the tea to us .,the lady brought us the tea .,a princess bought a glass for us .,a princess bought us a glass .
the president promised the cheese to them .,the president promised them the cheese .,a princess bought a glass for me .,a princess bought me a glass .
the attorney brought the meal to them .,the attorney brought them the meal .,a princess bought a glass for us .,a princess bought us a glass .
the mayor brought the key to her .,the mayor brought her the key .,a princess bought a glass for me .,a princess bought me a glass .
the adult took the jacket to you .,the adult took you the jacket .,a princess bought a glass for us .,a princess bought us a glass .
the lawyer brought the television to us .,the lawyer brought us the television .,a princess bought a glass for it .,a princess bought it a glass .
a president showed a chicken to us .,a president showed us a chicken .,the student caught the machine for them .,the student caught them the machine .
a friend brought a pie to them .,a friend brought them a pie .,the student caught the machine for me .,the student caught me the machine .
an employee brought a camera to us .,an employee brought us a camera .,the student caught the machine for us .,the student caught us the machine .
a brother supplied a tea to it .,a brother supplied it a tea .,the student caught the machine for us .,the student caught us the machine .
an employer took a bag to her .,an employer took her a bag .,the student caught the machine for you .,the student caught you the machine .
a friend supplied a beer to you .,a friend supplied you a beer .,the student caught the machine for her .,the student caught her the machine .
a sheriff sent a tea to them .,a sheriff sent them a tea .,the student caught the machine for you .,the student caught you the machine .
a prince promised a bowl to you .,a prince promised you a bowl .,the student caught the machine for you .,the student caught you the machine .
a lady promised a key to them .,a lady promised them a key .,the student caught the machine for me .,the student caught me the machine .
an adult gave a beer to him .,an adult gave him a beer .,the student caught the machine for you .,the student caught you the machine .
a friend showed a meal to you .,a friend showed you a meal .,the secretary found the jacket for us .,the secretary found us the jacket .
a colonel sold a wire to it .,a colonel sold it a wire .,the secretary found the jacket for us .,the secretary found us the jacket .
a guy sold a candy to him .,a guy sold him a candy .,the secretary found the jacket for her .,the secretary found her the jacket .
a colonel took an iron to her .,a colonel took her an iron .,the secretary found the jacket for you .,the secretary found you the jacket .
a colonel promised a beer to it .,a colonel promised it a beer .,the secretary found the jacket for me .,the secretary found me the jacket .
a nurse brought a chicken to you .,a nurse brought you a chicken .,the secretary found the jacket for us .,the secretary found us the jacket .
a chief supplied a tea to you .,a chief supplied you a tea .,the secretary found the jacket for us .,the secretary found us the jacket .
a man gave a card to me .,a man gave me a card .,the secretary found the jacket for you .,the secretary found you the jacket .
an actress showed a cheese to them .,an actress showed them a cheese .,the secretary found the jacket for us .,the secretary found us the jacket .
a cousin supplied a salad to you .,a cousin supplied you a salad .,the secretary found the jacket for it .,the secretary found it the jacket .
the uncle drew the plate for us .,the uncle drew us the plate .,a professor brought a pie to me .,a professor brought me a pie .
the soldier designed the hat for them .,the soldier designed them the hat .,a professor brought a pie to you .,a professor brought you a pie .
the champion caught the ball for you .,the champion caught you the ball .,a professor brought a pie to us .,a professor brought us a pie .
the army designed the bottle for us .,the army designed us the bottle .,a professor brought a pie to them .,a professor brought them a pie .
the princess bought the television for us .,the princess bought us the television .,a professor brought a pie to her .,a professor brought her a pie .
the singer designed the coat for him .,the singer designed him the coat .,a professor brought a pie to you .,a professor brought you a pie .
the mayor bought the key for it .,the mayor bought it the key .,a professor brought a pie to it .,a professor brought it a pie .
the sheriff drew the plate for me .,the sheriff drew me the plate .,a professor brought a pie to it .,a professor brought it a pie .
the leader kept the beer for us .,the leader kept us the beer .,a professor brought a pie to her .,a professor brought her a pie .
the secretary purchased the juice for it .,the secretary purchased it the juice .,a professor brought a pie to me .,a professor brought me a pie .
the candidate supplied the machine to them .,the candidate supplied them the machine .,a writer got a chocolate for me .,a writer got me a chocolate .
the guy fed the cheese to them .,the guy fed them the cheese .,a writer got a chocolate for me .,a writer got me a chocolate .
the partner fed the cheese to you .,the partner fed you the cheese .,a writer got a chocolate for you .,a writer got you a chocolate .
the candidate sold the meal to you .,the candidate sold you the meal .,a writer got a chocolate for her .,a writer got her a chocolate .
the husband threw the juice to us .,the husband threw us the juice .,a writer got a chocolate for me .,a writer got me a chocolate .
the prince fed the chicken to me .,the prince fed me the chicken .,a writer got a chocolate for us .,a writer got us a chocolate .
the champion sold the beer to it .,the champion sold it the beer .,a writer got a chocolate for her .,a writer got her a chocolate .
the princess promised the coffee to you .,the princess promised you the coffee .,a writer got a chocolate for you .,a writer got you a chocolate .
the attorney fed the meal to us .,the attorney fed us the meal .,a writer got a chocolate for him .,a writer got him a chocolate .
the brother showed the coffee to me .,the brother showed me the coffee .,a writer got a chocolate for me .,a writer got me a chocolate .
the woman purchased the beer for me .,the woman purchased me the beer .,a sheriff took a book to him .,a sheriff took him a book .
the opponent purchased the cheese for her .,the opponent purchased her the cheese .,a sheriff took a book to us .,a sheriff took us a book .
the actress made the gun for them .,the actress made them the gun .,a sheriff took a book to him .,a sheriff took him a book .
the husband caught the cup for her .,the husband caught her the cup .,a sheriff took a book to me .,a sheriff took me a book .
the professor purchased the juice for us .,the professor purchased us the juice .,a sheriff took a book to you .,a sheriff took you a book .
the pilot caught the television for her .,the pilot caught her the television .,a sheriff took a book to him .,a sheriff took him a book .
the buddy made the motor for you .,the buddy made you the motor .,a sheriff took a book to it .,a sheriff took it a book .
the winner purchased the beer for us .,the winner purchased us the beer .,a sheriff took a book to you .,a sheriff took you a book .
the manager saved the salad for us .,the manager saved us the salad .,a sheriff took a book to them .,a sheriff took them a book .
the champion drew the knife for me .,the champion drew me the knife .,a sheriff took a book to them .,a sheriff took them a book .
a father got a chocolate for us .,a father got us a chocolate .,the actress showed the coffee to us .,the actress showed us the coffee .
an employee caught a computer for me .,an employee caught me a computer .,the actress showed the coffee to you .,the actress showed you the coffee .
a parent made an engine for him .,a parent made him an engine .,the actress showed the coffee to it .,the actress showed it the coffee .
a reader made a bottle for you .,a reader made you a bottle .,the actress showed the coffee to it .,the actress showed it the coffee .
a lady bought a hat for you .,a lady bought you a hat .,the actress showed the coffee to you .,the actress showed you the coffee .
a scientist drew a book for it .,a scientist drew it a book .,the actress showed the coffee to me .,the actress showed me the coffee .
a boy designed a key for us .,a boy designed us a key .,the actress showed the coffee to him .,the actress showed him the coffee .
a sheriff found a glass for him .,a sheriff found him a glass .,the actress showed the coffee to him .,the actress showed him the coffee .
a winner drew an anchor for us .,a winner drew us an anchor .,the actress showed the coffee to us .,the actress showed us the coffee .
a priest delivered a coat for you .,a priest delivered you a coat .,the actress showed the coffee to you .,the actress showed you the coffee .
the guy delivered the bottle for them .,the guy delivered them the bottle .,a friend threw a meal to them .,a friend threw them a meal .
the worker designed the coat for it .,the worker designed it the coat .,a friend threw a meal to it .,a friend threw it a meal .
the actress bought the tea for it .,the actress bought it the tea .,a friend threw a meal to them .,a friend threw them a meal .
the cop saved the telephone for him .,the cop saved him the telephone .,a friend threw a meal to me .,a friend threw me a meal .
the nurse delivered the instrument for you .,the nurse delivered you the instrument .,a friend threw a meal to it .,a friend threw it a meal .
the lawyer kept the engine for me .,the lawyer kept me the engine .,a friend threw a meal to you .,a friend threw you a meal .
the band designed the log for him .,the band designed him the log .,a friend threw a meal to me .,a friend threw me a meal .
the father kept the chicken for you .,the father kept you the chicken .,a friend threw a meal to them .,a friend threw them a meal .
the aunt saved the cup for them .,the aunt saved them the cup .,a friend threw a meal to him .,a friend threw him a meal .
the kid saved the telephone for them .,the kid saved them the telephone .,a friend threw a meal to you .,a friend threw you a meal .
the hero promised the candy to me .,the hero promised me the candy .,a woman saved a chicken for you .,a woman saved you a chicken .
the employee showed the tea to me .,the employee showed me the tea .,a woman saved a chicken for you .,a woman saved you a chicken .
the nurse promised the meal to him .,the nurse promised him the meal .,a woman saved a chicken for us .,a woman saved us a chicken .
the leader sold the meal to us .,the leader sold us the meal .,a woman saved a chicken for them .,a woman saved them a chicken .
the friend threw the coffee to them .,the friend threw them the coffee .,a woman saved a chicken for us .,a woman saved us a chicken .
the lawyer gave the gun to you .,the lawyer gave you the gun .,a woman saved a chicken for it .,a woman saved it a chicken .
the hero promised the ball to her .,the hero promised her the ball .,a woman saved a chicken for me .,a woman saved me a chicken .
the prince sent the chocolate to him .,the prince sent him the chocolate .,a woman saved a chicken for her .,a woman saved her a chicken .
the scientist sent the jacket to her .,the scientist sent her the jacket .,a woman saved a chicken for you .,a woman saved you a chicken .
the champion supplied the salad to you .,the champion supplied you the salad .,a woman saved a chicken for you .,a woman saved you a chicken .
a minister threw a telephone to him .,a minister threw him a telephone .,the writer purchased the card for him .,the writer purchased him the card .
a priest showed a chicken to us .,a priest showed us a chicken .,the writer purchased the card for you .,the writer purchased you the card .
a champion showed a candy to them .,a champion showed them a candy .,the writer purchased the card for us .,the writer purchased us the card .
an opponent took a button to me .,an opponent took me a button .,the writer purchased the card for me .,the writer purchased me the card .
a sheriff supplied a bell to me .,a sheriff supplied me a bell .,the writer purchased the card for you .,the writer purchased you the card .
an opponent took a box to you .,an opponent took you a box .,the writer purchased the card for it .,the writer purchased it the card .
a buddy took a pot to him .,a buddy took him a pot .,the writer purchased the card for it .,the writer purchased it the card .
a teacher fed a cheese to you .,a teacher fed you a cheese .,the writer purchased the card for us .,the writer purchased us the card .
a teacher brought a juice to her .,a teacher brought her a juice .,the writer purchased the card for us .,the writer purchased us the card .
an actor took an engine to you .,an actor took you an engine .,the writer purchased the card for me .,the writer purchased me the card .
the wife brought the coffee to me .,the wife brought me the coffee .,a girl made a television for it .,a girl made it a television .
the winner sent the hat to me .,the winner sent me the hat .,a girl made a television for you .,a girl made you a television .
the soldier sold the beer to me .,the soldier sold me the beer .,a girl made a television for him .,a girl made him a television .
the guest promised the tea to it .,the guest promised it the tea .,a girl made a television for you .,a girl made you a television .
the princess sold the meal to you .,the princess sold you the meal .,a girl made a television for him .,a girl made him a television .
the teacher sent the chicken to him .,the teacher sent him the chicken .,a girl made a television for it .,a girl made it a television .
the princess supplied the instrument to us .,the princess supplied us the instrument .,a girl made a television for her .,a girl made her a television .
the opponent sold the salad to you .,the opponent sold you the salad .,a girl made a television for me .,a girl made me a television .
the employee supplied the tea to her .,the employee supplied her the tea .,a girl made a television for them .,a girl made them a television .
the president threw the log to us .,the president threw us the log .,a girl made a television for you .,a girl made you a television .
the doctor delivered the motor for them .,the doctor delivered them the motor .,a parent supplied a bowl to you .,a parent supplied you a bowl .
the minister got the card for him .,the minister got him the card .,a parent supplied a bowl to us .,a parent supplied us a bowl .
the opponent caught the hat for it .,the opponent caught it the hat .,a parent supplied a bowl to them .,a parent supplied them a bowl .
the soldier saved the beer for him .,the soldier saved him the beer .,a parent supplied a bowl to us .,a parent supplied us a bowl .
the writer drew the television for him .,the writer drew him the television .,a parent supplied a bowl to me .,a parent supplied me a bowl .
the chief got the juice for him .,the chief got him the juice .,a parent supplied a bowl to her .,a parent supplied her a bowl .
the guest caught the hat for them .,the guest caught them the hat .,a parent supplied a bowl to you .,a parent supplied you a bowl .
the bishop designed the knife for you .,the bishop designed you the knife .,a parent supplied a bowl to you .,a parent supplied you a bowl .
the candidate got the television for me .,the candidate got me the television .,a parent supplied a bowl to me .,a parent supplied me a bowl .
the captain bought the machine for me .,the captain bought me the machine .,a parent supplied a bowl to you .,a parent supplied you a bowl .
a lawyer brought a juice to me .,a lawyer brought me a juice .,the corporation designed the plate for it .,the corporation designed it the plate .
a minister supplied a bottle to me .,a minister supplied me a bottle .,the corporation designed the plate for you .,the corporation designed you the plate .
a professor fed a meal to me .,a professor fed me a meal .,the corporation designed the plate for us .,the corporation designed us the plate .
a hero supplied a beer to him .,a hero supplied him a beer .,the corporation designed the plate for you .,the corporation designed you the plate .
a girl sent a tea to them .,a girl sent them a tea .,the corporation designed the plate for you .,the corporation designed you the plate .
a chief threw a salad to us .,a chief threw us a salad .,the corporation designed the plate for you .,the corporation designed you the plate .
an adult threw a coffee to him .,an adult threw him a coffee .,the corporation designed the plate for us .,the corporation designed us the plate .
a hero threw a coffee to you .,a hero threw you a coffee .,the corporation designed the plate for it .,the corporation designed it the plate .
an adult brought a pie to him .,an adult brought him a pie .,the corporation designed the plate for it .,the corporation designed it the plate .
an employee promised a coffee to you .,an employee promised you a coffee .,the corporation designed the plate for you .,the corporation designed you the plate .
the soldier fed the meal to her .,the soldier fed her the meal .,a cousin drew a bell for you .,a cousin drew you a bell .
the leader supplied the meal to you .,the leader supplied you the meal .,a cousin drew a bell for you .,a cousin drew you a bell .
the guest sent the pot to her .,the guest sent her the pot .,a cousin drew a bell for him .,a cousin drew him a bell .
the sheriff promised the beer to them .,the sheriff promised them the beer .,a cousin drew a bell for us .,a cousin drew us a bell .
the worker took the telephone to you .,the worker took you the telephone .,a cousin drew a bell for us .,a cousin drew us a bell .
the father brought the machine to it .,the father brought it the machine .,a cousin drew a bell for him .,a cousin drew him a bell .
the father took the anchor to them .,the father took them the anchor .,a cousin drew a bell for me .,a cousin drew me a bell .
the employer supplied the cheese to you .,the employer supplied you the cheese .,a cousin drew a bell for him .,a cousin drew him a bell .
the child supplied the beer to it .,the child supplied it the beer .,a cousin drew a bell for them .,a cousin drew them a bell .
the candidate sold the chicken to it .,the candidate sold it the chicken .,a cousin drew a bell for them .,a cousin drew them a bell .
a bishop caught an iron for you .,a bishop caught you an iron .,the champion supplied the chocolate to us .,the champion supplied us the chocolate .
a president made a coat for us .,a president made us a coat .,the champion supplied the chocolate to it .,the champion supplied it the chocolate .
a husband caught a newspaper for you .,a husband caught you a newspaper .,the champion supplied the chocolate to you .,the champion supplied you the chocolate .
a bishop drew a pot for you .,a bishop drew you a pot .,the champion supplied the chocolate to him .,the champion supplied him the chocolate .
a guy designed a bell for you .,a guy designed you a bell .,the champion supplied the chocolate to me .,the champion supplied me the chocolate .
a candidate purchased a tea for them .,a candidate purchased them a tea .,the champion supplied the chocolate to him .,the champion supplied him the chocolate .
an employee drew a machine for them .,an employee drew them a machine .,the champion supplied the chocolate to us .,the champion supplied us the chocolate .
a cousin delivered a cheese for me .,a cousin delivered me a cheese .,the champion supplied the chocolate to us .,the champion supplied us the chocolate .
a girl designed a ball for you .,a girl designed you a ball .,the champion supplied the chocolate to me .,the champion supplied me the chocolate .
a cousin delivered a juice for him .,a cousin delivered him a juice .,the champion supplied the chocolate to us .,the champion supplied us the chocolate .
the leader gave the guitar to you .,the leader gave you the guitar .,a nurse caught a knife for me .,a nurse caught me a knife .
the actor promised the log to you .,the actor promised you the log .,a nurse caught a knife for us .,a nurse caught us a knife .
the candidate fed the cheese to him .,the candidate fed him the cheese .,a nurse caught a knife for you .,a nurse caught you a knife .
the woman fed the chicken to it .,the woman fed it the chicken .,a nurse caught a knife for us .,a nurse caught us a knife .
the aunt supplied the salad to us .,the aunt supplied us the salad .,a nurse caught a knife for us .,a nurse caught us a knife .
the girl promised the coffee to him .,the girl promised him the coffee .,a nurse caught a knife for them .,a nurse caught them a knife .
the aunt sold the cheese to us .,the aunt sold us the cheese .,a nurse caught a knife for us .,a nurse caught us a knife .
the friend brought the television to you .,the friend brought you the television .,a nurse caught a knife for her .,a nurse caught her a knife .
the writer gave the jacket to you .,the writer gave you the jacket .,a nurse caught a knife for me .,a nurse caught me a knife .
the mayor gave the tea to him .,the mayor gave him the tea .,a nurse caught a knife for you .,a nurse caught you a knife .
the son sold the plate to us .,the son sold us the plate .,a sheriff left a candy for them .,a sheriff left them a candy .
the husband supplied the glass to me .,the husband supplied me the glass .,a sheriff left a candy for them .,a sheriff left them a candy .
the hero sent the pot to it .,the hero sent it the pot .,a sheriff left a candy for me .,a sheriff left me a candy .
the chief brought the iron to us .,the chief brought us the iron .,a sheriff left a candy for me .,a sheriff left me a candy .
the actor fed the salad to you .,the actor fed you the salad .,a sheriff left a candy for them .,a sheriff left them a candy .
the king sold the chicken to them .,the king sold them the chicken .,a sheriff left a candy for him .,a sheriff left him a candy .
the aunt threw the coffee to you .,the aunt threw you the coffee .,a sheriff left a candy for us .,a sheriff left us a candy .
the opponent brought the ball to you .,the opponent brought you the ball .,a sheriff left a candy for them .,a sheriff left them a candy .
the employee threw the beer to them .,the employee threw them the beer .,a sheriff left a candy for him .,a sheriff left him a candy .
the champion threw the salad to her .,the champion threw her the salad .,a sheriff left a candy for him .,a sheriff left him a candy .
a reader took a log to us .,a reader took us a log .,the attorney saved the chocolate for them .,the attorney saved them the chocolate .
a woman sold a tea to you .,a woman sold you a tea .,the attorney saved the chocolate for them .,the attorney saved them the chocolate .
a prince took a bottle to them .,a prince took them a bottle .,the attorney saved the chocolate for us .,the attorney saved us the chocolate .
a worker brought a camera to her .,a worker brought her a camera .,the attorney saved the chocolate for you .,the attorney saved you the chocolate .
a nurse showed an engine to you .,a nurse showed you an engine .,the attorney saved the chocolate for me .,the attorney saved me the chocolate .
a student gave a chicken to me .,a student gave me a chicken .,the attorney saved the chocolate for me .,the attorney saved me the chocolate .
a secretary gave a juice to me .,a secretary gave me a juice .,the attorney saved the chocolate for us .,the attorney saved us the chocolate .
a physician brought a plate to you .,a physician brought you a plate .,the attorney saved the chocolate for us .,the attorney saved us the chocolate .
a father sent a salad to you .,a father sent you a salad .,the attorney saved the chocolate for us .,the attorney saved us the chocolate .
a secretary supplied a coffee to us .,a secretary supplied us a coffee .,the attorney saved the chocolate for you .,the attorney saved you the chocolate .
the parent made the glass for you .,the parent made you the glass .,a winner fed a chicken to me .,a winner fed me a chicken .
the adult purchased the pie for us .,the adult purchased us the pie .,a winner fed a chicken to it .,a winner fed it a chicken .
the girl drew the gun for them .,the girl drew them the gun .,a winner fed a chicken to us .,a winner fed us a chicken .
the brother made the flower for me .,the brother made me the flower .,a winner fed a chicken to me .,a winner fed me a chicken .
the nurse left the bowl for us .,the nurse left us the bowl .,a winner fed a chicken to me .,a winner fed me a chicken .
the wife delivered the salad for us .,the wife delivered us the salad .,a winner fed a chicken to us .,a winner fed us a chicken .
the friend saved the glass for it .,the friend saved it the glass .,a winner fed a chicken to us .,a winner fed us a chicken .
the employee drew the wire for it .,the employee drew it the wire .,a winner fed a chicken to me .,a winner fed me a chicken .
the man kept the pie for you .,the man kept you the pie .,a winner fed a chicken to me .,a winner fed me a chicken .
the chief caught the bag for us .,the chief caught us the bag .,a winner fed a chicken to him .,a winner fed him a chicken .
an author gave a flower to it .,an author gave it a flower .,the student bought the tea for me .,the student bought me the tea .
a president showed a cheese to him .,a president showed him a cheese .,the student bought the tea for us .,the student bought us the tea .
an actor showed a chocolate to you .,an actor showed you a chocolate .,the student bought the tea for them .,the student bought them the tea .
an adult fed a pie to me .,an adult fed me a pie .,the student bought the tea for me .,the student bought me the tea .
an attorney fed a salad to me .,an attorney fed me a salad .,the student bought the tea for me .,the student bought me the tea .
a chief sent an iron to you .,a chief sent you an iron .,the student bought the tea for them .,the student bought them the tea .
a hero sent a newspaper to him .,a hero sent him a newspaper .,the student bought the tea for us .,the student bought us the tea .
a manager promised a beer to us .,a manager promised us a beer .,the student bought the tea for her .,the student bought her the tea .
an actor brought a box to me .,an actor brought me a box .,the student bought the tea for us .,the student bought us the tea .
an employer brought a chicken to you .,an employer brought you a chicken .,the student bought the tea for you .,the student bought you the tea .
a club designed a box for us .,a club designed us a box .,the physician showed the tea to me .,the physician showed me the tea .
a kid found a meal for you .,a kid found you a meal .,the physician showed the tea to you .,the physician showed you the tea .
a candidate delivered a cheese for them .,a candidate delivered them a cheese .,the physician showed the tea to us .,the physician showed us the tea .
a professor got a cigarette for her .,a professor got her a cigarette .,the physician showed the tea to you .,the physician showed you the tea .
a reader delivered a chocolate for it .,a reader delivered it a chocolate .,the physician showed the tea to me .,the physician showed me the tea .
a daughter left a camera for me .,a daughter left me a camera .,the physician showed the tea to you .,the physician showed you the tea .
a daughter made a card for you .,a daughter made you a card .,the physician showed the tea to him .,the physician showed him the tea .
a professor left a key for me .,a professor left me a key .,the physician showed the tea to you .,the physician showed you the tea .
a secretary made a jacket for him .,a secretary made him a jacket .,the physician showed the tea to you .,the physician showed you the tea .
a soldier got a cheese for us .,a soldier got us a cheese .,the physician showed the tea to them .,the physician showed them the tea .
the lady threw the tea to him .,the lady threw him the tea .,a doctor delivered a beer for us .,a doctor delivered us a beer .
the minister sold the chicken to me .,the minister sold me the chicken .,a doctor delivered a beer for me .,a doctor delivered me a beer .
the champion supplied the chocolate to me .,the champion supplied me the chocolate .,a doctor delivered a beer for us .,a doctor delivered us a beer .
the mayor showed the chicken to me .,the mayor showed me the chicken .,a doctor delivered a beer for you .,a doctor delivered you a beer .
the captain sold the juice to you .,the captain sold you the juice .,a doctor delivered a beer for me .,a doctor delivered me a beer .
the guy supplied the chocolate to us .,the guy supplied us the chocolate .,a doctor delivered a beer for you .,a doctor delivered you a beer .
the winner sold the juice to him .,the winner sold him the juice .,a doctor delivered a beer for her .,a doctor delivered her a beer .
the manager fed the cheese to him .,the manager fed him the cheese .,a doctor delivered a beer for him .,a doctor delivered him a beer .
the mother threw the candy to you .,the mother threw you the candy .,a doctor delivered a beer for you .,a doctor delivered you a beer .
the manager promised the box to me .,the manager promised me the box .,a doctor delivered a beer for me .,a doctor delivered me a beer .
the doctor promised the chicken to me .,the doctor promised me the chicken .,a worker found a pie for me .,a worker found me a pie .
the nurse promised the meal to me .,the nurse promised me the meal .,a worker found a pie for it .,a worker found it a pie .
the aunt supplied the salad to them .,the aunt supplied them the salad .,a worker found a pie for it .,a worker found it a pie .
the parent took the gun to him .,the parent took him the gun .,a worker found a pie for me .,a worker found me a pie .
the lady threw the coffee to me .,the lady threw me the coffee .,a worker found a pie for me .,a worker found me a pie .
the chief sent the salad to us .,the chief sent us the salad .,a worker found a pie for you .,a worker found you a pie .
the brother brought the salad to me .,the brother brought me the salad .,a worker found a pie for them .,a worker found them a pie .
the girl fed the chicken to us .,the girl fed us the chicken .,a worker found a pie for you .,a worker found you a pie .
the girl supplied the candy to you .,the girl supplied you the candy .,a worker found a pie for it .,a worker found it a pie .
the kid showed the glass to them .,the kid showed them the glass .,a worker found a pie for you .,a worker found you a pie .
the mayor saved the candy for her .,the mayor saved her the candy .,an employee took a newspaper to me .,an employee took me a newspaper .
the captain bought the glass for me .,the captain bought me the glass .,an employee took a newspaper to him .,an employee took him a newspaper .
the cop drew the cup for us .,the cop drew us the cup .,an employee took a newspaper to us .,an employee took us a newspaper .
the woman bought the television for them .,the woman bought them the television .,an employee took a newspaper to him .,an employee took him a newspaper .
the prince designed the bell for you .,the prince designed you the bell .,an employee took a newspaper to you .,an employee took you a newspaper .
the pilot bought the box for us .,the pilot bought us the box .,an employee took a newspaper to you .,an employee took you a newspaper .
the man bought the pie for me .,the man bought me the pie .,an employee took a newspaper to it .,an employee took it a newspaper .
the actress purchased the beer for them .,the actress purchased them the beer .,an employee took a newspaper to us .,an employee took us a newspaper .
the leader found the salad for him .,the leader found him the salad .,an employee took a newspaper to us .,an employee took us a newspaper .
the adult made the ball for them .,the adult made them the ball .,an employee took a newspaper to you .,an employee took you a newspaper .
the buddy threw the bottle to us .,the buddy threw us the bottle .,a business designed a knife for it .,a business designed it a knife .
the brother promised the box to you .,the brother promised you the box .,a business designed a knife for me .,a business designed me a knife .
