text,structure,verb,det,prep
a candidate gave them a juice .,DO,GIVE,A,to
a princess gave a beer to him .,PD,GIVE,A,to
a princess gave him a beer .,DO,GIVE,A,to
a teacher gave a cheese to it .,PD,GIVE,A,to
a teacher gave it a cheese .,DO,GIVE,A,to
a man gave a card to you .,PD,GIVE,A,to
a man gave you a card .,DO,GIVE,A,to
a son gave a button to me .,PD,GIVE,A,to
a son gave me a button .,DO,GIVE,A,to
a sheriff gave an engine to it .,PD,GIVE,A,to
a sheriff gave it an engine .,DO,GIVE,A,to
a bishop gave a beer to you .,PD,GIVE,A,to
a bishop gave you a beer .,DO,GIVE,A,to
a pilot gave a bowl to you .,PD,GIVE,A,to
a pilot gave you a bowl .,DO,GIVE,A,to
a guest gave a coffee to us .,PD,GIVE,A,to
a guest gave us a coffee .,DO,GIVE,A,to
a cop gave a telephone to him .,PD,GIVE,A,to
a cop gave him a telephone .,DO,GIVE,A,to
a minister gave a coat to me .,PD,GIVE,A,to
a minister gave me a coat .,DO,GIVE,A,to
a pilot gave a coat to her .,PD,GIVE,A,to
a pilot gave her a coat .,DO,GIVE,A,to
a secretary gave a candy to you .,PD,GIVE,A,to
a secretary gave you a candy .,DO,GIVE,A,to
a kid gave a candy to us .,PD,GIVE,A,to
a kid gave us a candy .,DO,GIVE,A,to
a buddy gave a pie to us .,PD,GIVE,A,to
a buddy gave us a pie .,DO,GIVE,A,to
a lawyer gave a glass to us .,PD,GIVE,A,to
a lawyer gave us a glass .,DO,GIVE,A,to
a mayor gave a ball to you .,PD,GIVE,A,to
a mayor gave you a ball .,DO,GIVE,A,to
a priest gave a salad to her .,PD,GIVE,A,to
a priest gave her a salad .,DO,GIVE,A,to
a scientist gave a chicken to me .,PD,GIVE,A,to
a scientist gave me a chicken .,DO,GIVE,A,to
the adult kept the pie for you .,PD,KEEP,THE,for
the adult kept you the pie .,DO,KEEP,THE,for
the captain kept the anchor for you .,PD,KEEP,THE,for
the captain kept you the anchor .,DO,KEEP,THE,for
the secretary kept the coffee for him .,PD,KEEP,THE,for
the secretary kept him the coffee .,DO,KEEP,THE,for
the buddy kept the tea for you .,PD,KEEP,THE,for
the buddy kept you the tea .,DO,KEEP,THE,for
the captain kept the cheese for you .,PD,KEEP,THE,for
the captain kept you the cheese .,DO,KEEP,THE,for
the secretary kept the coffee for me .,PD,KEEP,THE,for
the secretary kept me the coffee .,DO,KEEP,THE,for
the actress kept the juice for him .,PD,KEEP,THE,for
the actress kept him the juice .,DO,KEEP,THE,for
the teacher kept the chocolate for you .,PD,KEEP,THE,for
the teacher kept you the chocolate .,DO,KEEP,THE,for
the student kept the beer for him .,PD,KEEP,THE,for
the student kept him the beer .,DO,KEEP,THE,for
the child kept the gun for him .,PD,KEEP,THE,for
the child kept him the gun .,DO,KEEP,THE,for
the nurse kept the juice for us .,PD,KEEP,THE,for
the nurse kept us the juice .,DO,KEEP,THE,for
the professor kept the beer for us .,PD,KEEP,THE,for
the professor kept us the beer .,DO,KEEP,THE,for
the writer kept the card for me .,PD,KEEP,THE,for
the writer kept me the card .,DO,KEEP,THE,for
the opponent kept the cigarette for him .,PD,KEEP,THE,for
the opponent kept him the cigarette .,DO,KEEP,THE,for
the friend kept the camera for us .,PD,KEEP,THE,for
the friend kept us the camera .,DO,KEEP,THE,for
the author kept the beer for it .,PD,KEEP,THE,for
the author kept it the beer .,DO,KEEP,THE,for
the minister kept the ball for him .,PD,KEEP,THE,for
the minister kept him the ball .,DO,KEEP,THE,for
the parent kept the pie for us .,PD,KEEP,THE,for
the parent kept us the pie .,DO,KEEP,THE,for
the minister kept the chicken for them .,PD,KEEP,THE,for
the minister kept them the chicken .,DO,KEEP,THE,for
the aunt kept the chicken for you .,PD,KEEP,THE,for
the aunt kept you the chicken .,DO,KEEP,THE,for
the employer kept the tea for you .,PD,KEEP,THE,for
the employer kept you the tea .,DO,KEEP,THE,for
the reader kept the chocolate for me .,PD,KEEP,THE,for
the reader kept me the chocolate .,DO,KEEP,THE,for
the employer kept the beer for you .,PD,KEEP,THE,for
the employer kept you the beer .,DO,KEEP,THE,for
the parent kept the log for them .,PD,KEEP,THE,for
the parent kept them the log .,DO,KEEP,THE,for
the actor kept the instrument for me .,PD,KEEP,THE,for
the actor kept me the instrument .,DO,KEEP,THE,for
a colonel kept a plate for me .,PD,KEEP,A,for
a colonel kept me a plate .,DO,KEEP,A,for
a manager kept a beer for him .,PD,KEEP,A,for
a manager kept him a beer .,DO,KEEP,A,for
a professor kept a pie for me .,PD,KEEP,A,for
a professor kept me a pie .,DO,KEEP,A,for
a scientist kept a cheese for you .,PD,KEEP,A,for
a scientist kept you a cheese .,DO,KEEP,A,for
a captain kept a beer for us .,PD,KEEP,A,for
a captain kept us a beer .,DO,KEEP,A,for
a man kept a glass for me .,PD,KEEP,A,for
a man kept me a glass .,DO,KEEP,A,for
an actress kept a guitar for it .,PD,KEEP,A,for
an actress kept it a guitar .,DO,KEEP,A,for
a doctor kept a salad for me .,PD,KEEP,A,for
a doctor kept me a salad .,DO,KEEP,A,for
a doctor kept a beer for me .,PD,KEEP,A,for
a doctor kept me a beer .,DO,KEEP,A,for
a lawyer kept a tea for him .,PD,KEEP,A,for
a lawyer kept him a tea .,DO,KEEP,A,for
a president kept a candy for you .,PD,KEEP,A,for
a president kept you a candy .,DO,KEEP,A,for
a professor kept a juice for you .,PD,KEEP,A,for
a professor kept you a juice .,DO,KEEP,A,for
a professor kept a beer for me .,PD,KEEP,A,for
a professor kept me a beer .,DO,KEEP,A,for
an actor kept a ball for us .,PD,KEEP,A,for
an actor kept us a ball .,DO,KEEP,A,for
an actress kept a guitar for you .,PD,KEEP,A,for
an actress kept you a guitar .,DO,KEEP,A,for
a teacher kept a tea for them .,PD,KEEP,A,for
a teacher kept them a tea .,DO,KEEP,A,for
a priest kept a coffee for us .,PD,KEEP,A,for
a priest kept us a coffee .,DO,KEEP,A,for
a guest kept a salad for me .,PD,KEEP,A,for
a guest kept me a salad .,DO,KEEP,A,for
an actor kept a bell for us .,PD,KEEP,A,for
an actor kept us a bell .,DO,KEEP,A,for
a lawyer kept a juice for her .,PD,KEEP,A,for
a lawyer kept her a juice .,DO,KEEP,A,for
an employee kept a cheese for me .,PD,KEEP,A,for
an employee kept me a cheese .,DO,KEEP,A,for
an adult kept a tea for you .,PD,KEEP,A,for
an adult kept you a tea .,DO,KEEP,A,for
an attorney kept a beer for them .,PD,KEEP,A,for
an attorney kept them a beer .,DO,KEEP,A,for
the bishop left the button for them .,PD,LEAVE,THE,for
the bishop left them the button .,DO,LEAVE,THE,for
the hero left the newspaper for her .,PD,LEAVE,THE,for
the hero left her the newspaper .,DO,LEAVE,THE,for
the buddy left the machine for me .,PD,LEAVE,THE,for
the buddy left me the machine .,DO,LEAVE,THE,for
the actress left the candy for us .,PD,LEAVE,THE,for
the actress left us the candy .,DO,LEAVE,THE,for
the uncle left the meal for you .,PD,LEAVE,THE,for
the uncle left you the meal .,DO,LEAVE,THE,for
the manager left the cheese for me .,PD,LEAVE,THE,for
the manager left me the cheese .,DO,LEAVE,THE,for
the chief left the salad for it .,PD,LEAVE,THE,for
the chief left it the salad .,DO,LEAVE,THE,for
the aunt left the bowl for us .,PD,LEAVE,THE,for
the aunt left us the bowl .,DO,LEAVE,THE,for
the reader left the tea for me .,PD,LEAVE,THE,for
the reader left me the tea .,DO,LEAVE,THE,for
the opponent left the bag for you .,PD,LEAVE,THE,for
the opponent left you the bag .,DO,LEAVE,THE,for
the soldier left the cheese for him .,PD,LEAVE,THE,for
the soldier left him the cheese .,DO,LEAVE,THE,for
the teacher left the camera for her .,PD,LEAVE,THE,for
the teacher left her the camera .,DO,LEAVE,THE,for
the singer left the motor for me .,PD,LEAVE,THE,for
the singer left me the motor .,DO,LEAVE,THE,for
the cousin left the juice for us .,PD,LEAVE,THE,for
the cousin left us the juice .,DO,LEAVE,THE,for
the kid left the pie for them .,PD,LEAVE,THE,for
the kid left them the pie .,DO,LEAVE,THE,for
the buddy left the machine for him .,PD,LEAVE,THE,for
the buddy left him the machine .,DO,LEAVE,THE,for
the singer left the motor for us .,PD,LEAVE,THE,for
the singer left us the motor .,DO,LEAVE,THE,for
the child left the machine for us .,PD,LEAVE,THE,for
the child left us the machine .,DO,LEAVE,THE,for
the doctor left the meal for us .,PD,LEAVE,THE,for
the doctor left us the meal .,DO,LEAVE,THE,for
the king left the candy for you .,PD,LEAVE,THE,for
the king left you the candy .,DO,LEAVE,THE,for
the actress left the box for us .,PD,LEAVE,THE,for
the actress left us the box .,DO,LEAVE,THE,for
the author left the pie for us .,PD,LEAVE,THE,for
the author left us the pie .,DO,LEAVE,THE,for
the son left the coffee for it .,PD,LEAVE,THE,for
the son left it the coffee .,DO,LEAVE,THE,for
the sheriff left the flower for you .,PD,LEAVE,THE,for
the sheriff left you the flower .,DO,LEAVE,THE,for
a lady left a salad for you .,PD,LEAVE,A,for
a lady left you a salad .,DO,LEAVE,A,for
a writer left a button for you .,PD,LEAVE,A,for
a writer left you a button .,DO,LEAVE,A,for
an actor left a beer for me .,PD,LEAVE,A,for
an actor left me a beer .,DO,LEAVE,A,for
a husband left a candy for you .,PD,LEAVE,A,for
a husband left you a candy .,DO,LEAVE,A,for
a chief left a coffee for him .,PD,LEAVE,A,for
a chief left him a coffee .,DO,LEAVE,A,for
a priest left a tea for us .,PD,LEAVE,A,for
a priest left us a tea .,DO,LEAVE,A,for
a brother left a coffee for him .,PD,LEAVE,A,for
a brother left him a coffee .,DO,LEAVE,A,for
a bishop left a pie for it .,PD,LEAVE,A,for
a bishop left it a pie .,DO,LEAVE,A,for
a brother left a juice for you .,PD,LEAVE,A,for
a brother left you a juice .,DO,LEAVE,A,for
an adult left a meal for you .,PD,LEAVE,A,for
an adult left you a meal .,DO,LEAVE,A,for
an actress left a chicken for you .,PD,LEAVE,A,for
an actress left you a chicken .,DO,LEAVE,A,for
a leader left a meal for you .,PD,LEAVE,A,for
a leader left you a meal .,DO,LEAVE,A,for
a leader left a tea for you .,PD,LEAVE,A,for
a leader left you a tea .,DO,LEAVE,A,for
a worker left a meal for you .,PD,LEAVE,A,for
a worker left you a meal .,DO,LEAVE,A,for
a sheriff left a candy for us .,PD,LEAVE,A,for
a sheriff left us a candy .,DO,LEAVE,A,for
a father left a juice for us .,PD,LEAVE,A,for
a father left us a juice .,DO,LEAVE,A,for
a winner left a pie for her .,PD,LEAVE,A,for
a winner left her a pie .,DO,LEAVE,A,for
a hero left a cheese for it .,PD,LEAVE,A,for
a hero left it a cheese .,DO,LEAVE,A,for
a cop left a plate for me .,PD,LEAVE,A,for
a cop left me a plate .,DO,LEAVE,A,for
a woman left a chicken for me .,PD,LEAVE,A,for
a woman left me a chicken .,DO,LEAVE,A,for
a sheriff left a flower for it .,PD,LEAVE,A,for
a sheriff left it a flower .,DO,LEAVE,A,for
a colonel left a wire for me .,PD,LEAVE,A,for
a colonel left me a wire .,DO,LEAVE,A,for
a reader left a ball for you .,PD,LEAVE,A,for
a reader left you a ball .,DO,LEAVE,A,for
an aunt left a pot for us .,PD,LEAVE,A,for
an aunt left us a pot .,DO,LEAVE,A,for
a sheriff left a book for you .,PD,LEAVE,A,for
a sheriff left you a book .,DO,LEAVE,A,for
the doctor made the plate for them .,PD,MAKE,THE,for
the doctor made them the plate .,DO,MAKE,THE,for
the writer made the coat for you .,PD,MAKE,THE,for
the writer made you the coat .,DO,MAKE,THE,for
the hero made the box for you .,PD,MAKE,THE,for
the hero made you the box .,DO,MAKE,THE,for
the minister made the engine for him .,PD,MAKE,THE,for
the minister made him the engine .,DO,MAKE,THE,for
the friend made the book for us .,PD,MAKE,THE,for
the friend made us the book .,DO,MAKE,THE,for
the sheriff made the bottle for me .,PD,MAKE,THE,for
the sheriff made me the bottle .,DO,MAKE,THE,for
the adult made the iron for them .,PD,MAKE,THE,for
the adult made them the iron .,DO,MAKE,THE,for
the child made the bell for me .,PD,MAKE,THE,for
the child made me the bell .,DO,MAKE,THE,for
the writer made the bottle for you .,PD,MAKE,THE,for
the writer made you the bottle .,DO,MAKE,THE,for
the parent made the box for it .,PD,MAKE,THE,for
the parent made it the box .,DO,MAKE,THE,for
the worker made the machine for you .,PD,MAKE,THE,for
the worker made you the machine .,DO,MAKE,THE,for
the pilot made the plate for them .,PD,MAKE,THE,for
the pilot made them the plate .,DO,MAKE,THE,for
the reader made the log for me .,PD,MAKE,THE,for
the reader made me the log .,DO,MAKE,THE,for
the lady made the bottle for me .,PD,MAKE,THE,for
the lady made me the bottle .,DO,MAKE,THE,for
the kid made the iron for me .,PD,MAKE,THE,for
the kid made me the iron .,DO,MAKE,THE,for
the priest made the camera for her .,PD,MAKE,THE,for
the priest made her the camera .,DO,MAKE,THE,for
the minister made the key for it .,PD,MAKE,THE,for
the minister made it the key .,DO,MAKE,THE,for
the winner made the cup for me .,PD,MAKE,THE,for
the winner made me the cup .,DO,MAKE,THE,for
the doctor made the bell for us .,PD,MAKE,THE,for
the doctor made us the bell .,DO,MAKE,THE,for
the priest made the engine for her .,PD,MAKE,THE,for
the priest made her the engine .,DO,MAKE,THE,for
the opponent made the coat for us .,PD,MAKE,THE,for
the opponent made us the coat .,DO,MAKE,THE,for
the bishop made the button for us .,PD,MAKE,THE,for
the bishop made us the button .,DO,MAKE,THE,for
the actress made the plate for him .,PD,MAKE,THE,for
the actress made him the plate .,DO,MAKE,THE,for
the employer made the knife for it .,PD,MAKE,THE,for
the employer made it the knife .,DO,MAKE,THE,for
a chief made a cup for me .,PD,MAKE,A,for
a chief made me a cup .,DO,MAKE,A,for
a child made a bag for you .,PD,MAKE,A,for
a child made you a bag .,DO,MAKE,A,for
a wife made a card for them .,PD,MAKE,A,for
a wife made them a card .,DO,MAKE,A,for
a buddy made an engine for you .,PD,MAKE,A,for
a buddy made you an engine .,DO,MAKE,A,for
a worker made an instrument for you .,PD,MAKE,A,for
a worker made you an instrument .,DO,MAKE,A,for
a colonel made a cigarette for us .,PD,MAKE,A,for
a colonel made us a cigarette .,DO,MAKE,A,for
an attorney made a motor for her .,PD,MAKE,A,for
an attorney made her a motor .,DO,MAKE,A,for
a king made a cup for him .,PD,MAKE,A,for
a king made him a cup .,DO,MAKE,A,for
a captain made a plate for me .,PD,MAKE,A,for
a captain made me a plate .,DO,MAKE,A,for
a husband made a newspaper for me .,PD,MAKE,A,for
a husband made me a newspaper .,DO,MAKE,A,for
a parent made an engine for them .,PD,MAKE,A,for
a parent made them an engine .,DO,MAKE,A,for
a chief made a coat for me .,PD,MAKE,A,for
a chief made me a coat .,DO,MAKE,A,for
a pilot made an instrument for him .,PD,MAKE,A,for
a pilot made him an instrument .,DO,MAKE,A,for
a soldier made a wire for you .,PD,MAKE,A,for
a soldier made you a wire .,DO,MAKE,A,for
a boy made a guitar for us .,PD,MAKE,A,for
a boy made us a guitar .,DO,MAKE,A,for
an opponent made a computer for you .,PD,MAKE,A,for
an opponent made you a computer .,DO,MAKE,A,for
an uncle made a machine for them .,PD,MAKE,A,for
an uncle made them a machine .,DO,MAKE,A,for
a lawyer made a glass for you .,PD,MAKE,A,for
a lawyer made you a glass .,DO,MAKE,A,for
an actor made a box for me .,PD,MAKE,A,for
an actor made me a box .,DO,MAKE,A,for
a colonel made a wire for them .,PD,MAKE,A,for
a colonel made them a wire .,DO,MAKE,A,for
a soldier made a wire for us .,PD,MAKE,A,for
a soldier made us a wire .,DO,MAKE,A,for
a physician made a bowl for it .,PD,MAKE,A,for
a physician made it a bowl .,DO,MAKE,A,for
a worker made a coat for us .,PD,MAKE,A,for
a worker made us a coat .,DO,MAKE,A,for
a scientist made an iron for it .,PD,MAKE,A,for
a scientist made it an iron .,DO,MAKE,A,for
the reader purchased the meal for me .,PD,PURCHASE,THE,for
the reader purchased me the meal .,DO,PURCHASE,THE,for
the parent purchased the ball for it .,PD,PURCHASE,THE,for
the parent purchased it the ball .,DO,PURCHASE,THE,for
the mother purchased the pie for me .,PD,PURCHASE,THE,for
the mother purchased me the pie .,DO,PURCHASE,THE,for
the boy purchased the gun for us .,PD,PURCHASE,THE,for
the boy purchased us the gun .,DO,PURCHASE,THE,for
the friend purchased the box for him .,PD,PURCHASE,THE,for
the friend purchased him the box .,DO,PURCHASE,THE,for
the prince purchased the tea for her .,PD,PURCHASE,THE,for
the prince purchased her the tea .,DO,PURCHASE,THE,for
the president purchased the computer for you .,PD,PURCHASE,THE,for
the president purchased you the computer .,DO,PURCHASE,THE,for
the prince purchased the juice for you .,PD,PURCHASE,THE,for
the prince purchased you the juice .,DO,PURCHASE,THE,for
the guest purchased the juice for you .,PD,PURCHASE,THE,for
the guest purchased you the juice .,DO,PURCHASE,THE,for
the sheriff purchased the juice for you .,PD,PURCHASE,THE,for
the sheriff purchased you the juice .,DO,PURCHASE,THE,for
the student purchased the coat for you .,PD,PURCHASE,THE,for
the student purchased you the coat .,DO,PURCHASE,THE,for
the cop purchased the guitar for me .,PD,PURCHASE,THE,for
the cop purchased me the guitar .,DO,PURCHASE,THE,for
the minister purchased the chocolate for me .,PD,PURCHASE,THE,for
the minister purchased me the chocolate .,DO,PURCHASE,THE,for
the parent purchased the tea for us .,PD,PURCHASE,THE,for
the parent purchased us the tea .,DO,PURCHASE,THE,for
the manager purchased the tea for us .,PD,PURCHASE,THE,for
the manager purchased us the tea .,DO,PURCHASE,THE,for
the princess purchased the coffee for it .,PD,PURCHASE,THE,for
the princess purchased it the coffee .,DO,PURCHASE,THE,for
the employee purchased the beer for us .,PD,PURCHASE,THE,for
the employee purchased us the beer .,DO,PURCHASE,THE,for
the mother purchased the tea for you .,PD,PURCHASE,THE,for
the mother purchased you the tea .,DO,PURCHASE,THE,for
the teacher purchased the coffee for him .,PD,PURCHASE,THE,for
the teacher purchased him the coffee .,DO,PURCHASE,THE,for
the soldier purchased the tea for him .,PD,PURCHASE,THE,for
the soldier purchased him the tea .,DO,PURCHASE,THE,for
the guest purchased the bag for me .,PD,PURCHASE,THE,for
the guest purchased me the bag .,DO,PURCHASE,THE,for
the mother purchased the tea for it .,PD,PURCHASE,THE,for
the mother purchased it the tea .,DO,PURCHASE,THE,for
the president purchased the cheese for you .,PD,PURCHASE,THE,for
the president purchased you the cheese .,DO,PURCHASE,THE,for
the president purchased the cheese for me .,PD,PURCHASE,THE,for
the president purchased me the cheese .,DO,PURCHASE,THE,for
a captain purchased a cheese for you .,PD,PURCHASE,A,for
a captain purchased you a cheese .,DO,PURCHASE,A,for
a cousin purchased a salad for us .,PD,PURCHASE,A,for
a cousin purchased us a salad .,DO,PURCHASE,A,for
a sheriff purchased a key for it .,PD,PURCHASE,A,for
a sheriff purchased it a key .,DO,PURCHASE,A,for
a chief purchased a gun for you .,PD,PURCHASE,A,for
a chief purchased you a gun .,DO,PURCHASE,A,for
a candidate purchased a beer for him .,PD,PURCHASE,A,for
a candidate purchased him a beer .,DO,PURCHASE,A,for
a mayor purchased a juice for me .,PD,PURCHASE,A,for
a mayor purchased me a juice .,DO,PURCHASE,A,for
a chief purchased a meal for it .,PD,PURCHASE,A,for
a chief purchased it a meal .,DO,PURCHASE,A,for
a winner purchased a chocolate for her .,PD,PURCHASE,A,for
a winner purchased her a chocolate .,DO,PURCHASE,A,for
a buddy purchased a jacket for me .,PD,PURCHASE,A,for
a buddy purchased me a jacket .,DO,PURCHASE,A,for
an employee purchased a cheese for you .,PD,PURCHASE,A,for
an employee purchased you a cheese .,DO,PURCHASE,A,for
an employer purchased a pot for you .,PD,PURCHASE,A,for
an employer purchased you a pot .,DO,PURCHASE,A,for
a sheriff purchased a juice for her .,PD,PURCHASE,A,for
a sheriff purchased her a juice .,DO,PURCHASE,A,for
a mayor purchased a gun for me .,PD,PURCHASE,A,for
a mayor purchased me a gun .,DO,PURCHASE,A,for
a physician purchased a tea for us .,PD,PURCHASE,A,for
a physician purchased us a tea .,DO,PURCHASE,A,for
a worker purchased a candy for it .,PD,PURCHASE,A,for
a worker purchased it a candy .,DO,PURCHASE,A,for
a minister purchased a pie for her .,PD,PURCHASE,A,for
a minister purchased her a pie .,DO,PURCHASE,A,for
a husband purchased a bowl for him .,PD,PURCHASE,A,for
a husband purchased him a bowl .,DO,PURCHASE,A,for
a guest purchased a salad for me .,PD,PURCHASE,A,for
a guest purchased me a salad .,DO,PURCHASE,A,for
a chief purchased a meal for him .,PD,PURCHASE,A,for
a chief purchased him a meal .,DO,PURCHASE,A,for
a minister purchased a motor for us .,PD,PURCHASE,A,for
a minister purchased us a motor .,DO,PURCHASE,A,for
a teacher purchased a coffee for us .,PD,PURCHASE,A,for
a teacher purchased us a coffee .,DO,PURCHASE,A,for
a parent purchased a chicken for us .,PD,PURCHASE,A,for
a parent purchased us a chicken .,DO,PURCHASE,A,for
an author purchased a salad for it .,PD,PURCHASE,A,for
an author purchased it a salad .,DO,PURCHASE,A,for
an actor purchased a tea for you .,PD,PURCHASE,A,for
an actor purchased you a tea .,DO,PURCHASE,A,for
a cousin purchased a bag for you .,PD,PURCHASE,A,for
a cousin purchased you a bag .,DO,PURCHASE,A,for
the son saved the wire for us .,PD,SAVE,THE,for
the son saved us the wire .,DO,SAVE,THE,for
the leader saved the pie for her .,PD,SAVE,THE,for
the leader saved her the pie .,DO,SAVE,THE,for
the guy saved the knife for you .,PD,SAVE,THE,for
the guy saved you the knife .,DO,SAVE,THE,for
the adult saved the beer for you .,PD,SAVE,THE,for
the adult saved you the beer .,DO,SAVE,THE,for
the father saved the beer for me .,PD,SAVE,THE,for
the father saved me the beer .,DO,SAVE,THE,for
the leader saved the cheese for you .,PD,SAVE,THE,for
the leader saved you the cheese .,DO,SAVE,THE,for
the princess saved the coffee for me .,PD,SAVE,THE,for
the princess saved me the coffee .,DO,SAVE,THE,for
the lady saved the chicken for it .,PD,SAVE,THE,for
the lady saved it the chicken .,DO,SAVE,THE,for
the employee saved the coffee for them .,PD,SAVE,THE,for
the employee saved them the coffee .,DO,SAVE,THE,for
the buddy saved the juice for him .,PD,SAVE,THE,for
the buddy saved him the juice .,DO,SAVE,THE,for
the son saved the chocolate for it .,PD,SAVE,THE,for
the son saved it the chocolate .,DO,SAVE,THE,for
the adult saved the camera for her .,PD,SAVE,THE,for
the adult saved her the camera .,DO,SAVE,THE,for
the priest saved the bell for them .,PD,SAVE,THE,for
the priest saved them the bell .,DO,SAVE,THE,for
the son saved the salad for us .,PD,SAVE,THE,for
the son saved us the salad .,DO,SAVE,THE,for
the physician saved the book for me .,PD,SAVE,THE,for
the physician saved me the book .,DO,SAVE,THE,for
the leader saved the coat for them .,PD,SAVE,THE,for
the leader saved them the coat .,DO,SAVE,THE,for
the girl saved the salad for him .,PD,SAVE,THE,for
the girl saved him the salad .,DO,SAVE,THE,for
the scientist saved the beer for me .,PD,SAVE,THE,for
the scientist saved me the beer .,DO,SAVE,THE,for
the partner saved the juice for him .,PD,SAVE,THE,for
the partner saved him the juice .,DO,SAVE,THE,for
the attorney saved the tea for it .,PD,SAVE,THE,for
the attorney saved it the tea .,DO,SAVE,THE,for
the student saved the bell for him .,PD,SAVE,THE,for
the student saved him the bell .,DO,SAVE,THE,for
the cop saved the candy for you .,PD,SAVE,THE,for
the cop saved you the candy .,DO,SAVE,THE,for
the employer saved the telephone for us .,PD,SAVE,THE,for
the employer saved us the telephone .,DO,SAVE,THE,for
the sheriff saved the pie for me .,PD,SAVE,THE,for
the sheriff saved me the pie .,DO,SAVE,THE,for
a secretary saved a pie for me .,PD,SAVE,A,for
a secretary saved me a pie .,DO,SAVE,A,for
a parent saved a chicken for him .,PD,SAVE,A,for
a parent saved him a chicken .,DO,SAVE,A,for
a secretary saved a button for me .,PD,SAVE,A,for
a secretary saved me a button .,DO,SAVE,A,for
a boy saved a beer for her .,PD,SAVE,A,for
a boy saved her a beer .,DO,SAVE,A,for
an author saved a juice for us .,PD,SAVE,A,for
an author saved us a juice .,DO,SAVE,A,for
a buddy saved a pie for him .,PD,SAVE,A,for
a buddy saved him a pie .,DO,SAVE,A,for
an actress saved a coffee for him .,PD,SAVE,A,for
an actress saved him a coffee .,DO,SAVE,A,for
a scientist saved a juice for it .,PD,SAVE,A,for
a scientist saved it a juice .,DO,SAVE,A,for
a hero saved a juice for us .,PD,SAVE,A,for
a hero saved us a juice .,DO,SAVE,A,for
a leader saved a juice for you .,PD,SAVE,A,for
a leader saved you a juice .,DO,SAVE,A,for
a reader saved a meal for it .,PD,SAVE,A,for
a reader saved it a meal .,DO,SAVE,A,for
a daughter saved a salad for me .,PD,SAVE,A,for
a daughter saved me a salad .,DO,SAVE,A,for
a father saved a hat for her .,PD,SAVE,A,for
a father saved her a hat .,DO,SAVE,A,for
a writer saved a crystal for me .,PD,SAVE,A,for
a writer saved me a crystal .,DO,SAVE,A,for
a reader saved a chocolate for them .,PD,SAVE,A,for
a reader saved them a chocolate .,DO,SAVE,A,for
a manager saved an anchor for us .,PD,SAVE,A,for
a manager saved us an anchor .,DO,SAVE,A,for
a mother saved a chocolate for you .,PD,SAVE,A,for
a mother saved you a chocolate .,DO,SAVE,A,for
a colonel saved a television for you .,PD,SAVE,A,for
a colonel saved you a television .,DO,SAVE,A,for
an actress saved a coffee for me .,PD,SAVE,A,for
an actress saved me a coffee .,DO,SAVE,A,for
a woman saved a cup for us .,PD,SAVE,A,for
a woman saved us a cup .,DO,SAVE,A,for
a worker saved a book for us .,PD,SAVE,A,for
a worker saved us a book .,DO,SAVE,A,for
a champion saved a beer for you .,PD,SAVE,A,for
a champion saved you a beer .,DO,SAVE,A,for
a champion saved a beer for us .,PD,SAVE,A,for
a champion saved us a beer .,DO,SAVE,A,for
an author saved a chocolate for them .,PD,SAVE,A,for
an author saved them a chocolate .,DO,SAVE,A,for
the leader sold the meal to them .,PD,SELL,THE,to
the leader sold them the meal .,DO,SELL,THE,to
the employee sold the button to them .,PD,SELL,THE,to
the employee sold them the button .,DO,SELL,THE,to
the manager sold the beer to you .,PD,SELL,THE,to
the manager sold you the beer .,DO,SELL,THE,to
the brother sold the chicken to us .,PD,SELL,THE,to
the brother sold us the chicken .,DO,SELL,THE,to
the parent sold the juice to him .,PD,SELL,THE,to
the parent sold him the juice .,DO,SELL,THE,to
the leader sold the pie to him .,PD,SELL,THE,to
the leader sold him the pie .,DO,SELL,THE,to
the singer sold the pie to them .,PD,SELL,THE,to
the singer sold them the pie .,DO,SELL,THE,to
the brother sold the pie to them .,PD,SELL,THE,to
the brother sold them the pie .,DO,SELL,THE,to
the brother sold the salad to you .,PD,SELL,THE,to
the brother sold you the salad .,DO,SELL,THE,to
the friend sold the cheese to her .,PD,SELL,THE,to
the friend sold her the cheese .,DO,SELL,THE,to
the nurse sold the guitar to them .,PD,SELL,THE,to
the nurse sold them the guitar .,DO,SELL,THE,to
the mother sold the box to me .,PD,SELL,THE,to
the mother sold me the box .,DO,SELL,THE,to
the employee sold the tea to me .,PD,SELL,THE,to
the employee sold me the tea .,DO,SELL,THE,to
the doctor sold the key to him .,PD,SELL,THE,to
the doctor sold him the key .,DO,SELL,THE,to
the guy sold the coffee to us .,PD,SELL,THE,to
the guy sold us the coffee .,DO,SELL,THE,to
the sheriff sold the coffee to you .,PD,SELL,THE,to
the sheriff sold you the coffee .,DO,SELL,THE,to
the princess sold the box to her .,PD,SELL,THE,to
the princess sold her the box .,DO,SELL,THE,to
the secretary sold the coffee to me .,PD,SELL,THE,to
the secretary sold me the coffee .,DO,SELL,THE,to
the priest sold the glass to you .,PD,SELL,THE,to
the priest sold you the glass .,DO,SELL,THE,to
the kid sold the beer to her .,PD,SELL,THE,to
the kid sold her the beer .,DO,SELL,THE,to
the physician sold the crystal to her .,PD,SELL,THE,to
the physician sold her the crystal .,DO,SELL,THE,to
the president sold the computer to you .,PD,SELL,THE,to
the president sold you the computer .,DO,SELL,THE,to
