text,structure,verb,det,prep
the author gave the partner the telephone .,DO,GIVE,THE,to
the parent gave the chicken to the administration .,PD,GIVE,THE,to
the parent gave the administration the chicken .,DO,GIVE,THE,to
the priest gave the salad to the company .,PD,GIVE,THE,to
the priest gave the company the salad .,DO,GIVE,THE,to
the scientist gave the cup to the club .,PD,GIVE,THE,to
the scientist gave the club the cup .,DO,GIVE,THE,to
the actress gave the bowl to the secretary .,PD,GIVE,THE,to
the actress gave the secretary the bowl .,DO,GIVE,THE,to
the parent gave the juice to the company .,PD,GIVE,THE,to
the parent gave the company the juice .,DO,GIVE,THE,to
the colonel gave the chocolate to the king .,PD,GIVE,THE,to
the colonel gave the king the chocolate .,DO,GIVE,THE,to
the friend gave the anchor to the employer .,PD,GIVE,THE,to
the friend gave the employer the anchor .,DO,GIVE,THE,to
the candidate gave the bell to the priest .,PD,GIVE,THE,to
the candidate gave the priest the bell .,DO,GIVE,THE,to
a nurse gave a beer to a parent .,PD,GIVE,A,to
a nurse gave a parent a beer .,DO,GIVE,A,to
a professor gave a tea to a business .,PD,GIVE,A,to
a professor gave a business a tea .,DO,GIVE,A,to
a friend gave a juice to an administration .,PD,GIVE,A,to
a friend gave an administration a juice .,DO,GIVE,A,to
a champion gave a candy to an administration .,PD,GIVE,A,to
a champion gave an administration a candy .,DO,GIVE,A,to
a kid gave a salad to an administration .,PD,GIVE,A,to
a kid gave an administration a salad .,DO,GIVE,A,to
a guy gave a pie to a band .,PD,GIVE,A,to
a guy gave a band a pie .,DO,GIVE,A,to
a physician gave a juice to a business .,PD,GIVE,A,to
a physician gave a business a juice .,DO,GIVE,A,to
a candidate gave a glass to a lady .,PD,GIVE,A,to
a candidate gave a lady a glass .,DO,GIVE,A,to
a teacher gave a beer to a company .,PD,GIVE,A,to
a teacher gave a company a beer .,DO,GIVE,A,to
a cousin gave a hat to an army .,PD,GIVE,A,to
a cousin gave an army a hat .,DO,GIVE,A,to
a teacher gave a chocolate to a club .,PD,GIVE,A,to
a teacher gave a club a chocolate .,DO,GIVE,A,to
a student gave a camera to an administration .,PD,GIVE,A,to
a student gave an administration a camera .,DO,GIVE,A,to
an author gave a motor to a business .,PD,GIVE,A,to
an author gave a business a motor .,DO,GIVE,A,to
a father gave a pie to a teacher .,PD,GIVE,A,to
a father gave a teacher a pie .,DO,GIVE,A,to
a boy gave an iron to a band .,PD,GIVE,A,to
a boy gave a band an iron .,DO,GIVE,A,to
a king gave a tea to an administration .,PD,GIVE,A,to
a king gave an administration a tea .,DO,GIVE,A,to
a scientist gave a juice to a man .,PD,GIVE,A,to
a scientist gave a man a juice .,DO,GIVE,A,to
a teacher gave a juice to a corporation .,PD,GIVE,A,to
a teacher gave a corporation a juice .,DO,GIVE,A,to
an employee gave a coat to a brother .,PD,GIVE,A,to
an employee gave a brother a coat .,DO,GIVE,A,to
a scientist gave a bowl to a band .,PD,GIVE,A,to
a scientist gave a band a bowl .,DO,GIVE,A,to
the hero kept the cup for the doctor .,PD,KEEP,THE,for
the hero kept the doctor the cup .,DO,KEEP,THE,for
the employer kept the cheese for the woman .,PD,KEEP,THE,for
the employer kept the woman the cheese .,DO,KEEP,THE,for
the prince kept the juice for the corporation .,PD,KEEP,THE,for
the prince kept the corporation the juice .,DO,KEEP,THE,for
the boy kept the meal for the corporation .,PD,KEEP,THE,for
the boy kept the corporation the meal .,DO,KEEP,THE,for
the parent kept the chocolate for the king .,PD,KEEP,THE,for
the parent kept the king the chocolate .,DO,KEEP,THE,for
the captain kept the pie for the adult .,PD,KEEP,THE,for
the captain kept the adult the pie .,DO,KEEP,THE,for
the mother kept the juice for the corporation .,PD,KEEP,THE,for
the mother kept the corporation the juice .,DO,KEEP,THE,for
the mayor kept the pie for the corporation .,PD,KEEP,THE,for
the mayor kept the corporation the pie .,DO,KEEP,THE,for
the winner kept the camera for the corporation .,PD,KEEP,THE,for
the winner kept the corporation the camera .,DO,KEEP,THE,for
the mayor kept the tea for the guy .,PD,KEEP,THE,for
the mayor kept the guy the tea .,DO,KEEP,THE,for
the king kept the chocolate for the actor .,PD,KEEP,THE,for
the king kept the actor the chocolate .,DO,KEEP,THE,for
the cousin kept the juice for the teacher .,PD,KEEP,THE,for
the cousin kept the teacher the juice .,DO,KEEP,THE,for
the husband kept the key for the band .,PD,KEEP,THE,for
the husband kept the band the key .,DO,KEEP,THE,for
the opponent kept the chicken for the business .,PD,KEEP,THE,for
the opponent kept the business the chicken .,DO,KEEP,THE,for
the priest kept the plate for the father .,PD,KEEP,THE,for
the priest kept the father the plate .,DO,KEEP,THE,for
the hero kept the tea for the business .,PD,KEEP,THE,for
the hero kept the business the tea .,DO,KEEP,THE,for
a son kept a chocolate for a partner .,PD,KEEP,A,for
a son kept a partner a chocolate .,DO,KEEP,A,for
an attorney kept a beer for a daughter .,PD,KEEP,A,for
an attorney kept a daughter a beer .,DO,KEEP,A,for
an employer kept an anchor for a leader .,PD,KEEP,A,for
an employer kept a leader an anchor .,DO,KEEP,A,for
a mayor kept a television for an aunt .,PD,KEEP,A,for
a mayor kept an aunt a television .,DO,KEEP,A,for
a president kept a cigarette for a club .,PD,KEEP,A,for
a president kept a club a cigarette .,DO,KEEP,A,for
an attorney kept a cheese for a band .,PD,KEEP,A,for
an attorney kept a band a cheese .,DO,KEEP,A,for
a mother kept a pie for a friend .,PD,KEEP,A,for
a mother kept a friend a pie .,DO,KEEP,A,for
an adult kept a card for a band .,PD,KEEP,A,for
an adult kept a band a card .,DO,KEEP,A,for
an actor kept a chicken for a husband .,PD,KEEP,A,for
an actor kept a husband a chicken .,DO,KEEP,A,for
a champion kept a tea for a secretary .,PD,KEEP,A,for
a champion kept a secretary a tea .,DO,KEEP,A,for
a guest kept a juice for a pilot .,PD,KEEP,A,for
a guest kept a pilot a juice .,DO,KEEP,A,for
a daughter kept a cup for a band .,PD,KEEP,A,for
a daughter kept a band a cup .,DO,KEEP,A,for
a lawyer kept a pot for a captain .,PD,KEEP,A,for
a lawyer kept a captain a pot .,DO,KEEP,A,for
a worker kept a tea for a bishop .,PD,KEEP,A,for
a worker kept a bishop a tea .,DO,KEEP,A,for
a princess kept a juice for an attorney .,PD,KEEP,A,for
a princess kept an attorney a juice .,DO,KEEP,A,for
a doctor kept a pie for a band .,PD,KEEP,A,for
a doctor kept a band a pie .,DO,KEEP,A,for
the attorney left the chocolate for the captain .,PD,LEAVE,THE,for
the attorney left the captain the chocolate .,DO,LEAVE,THE,for
the physician left the tea for the nurse .,PD,LEAVE,THE,for
the physician left the nurse the tea .,DO,LEAVE,THE,for
the professor left the hat for the minister .,PD,LEAVE,THE,for
the professor left the minister the hat .,DO,LEAVE,THE,for
the worker left the candy for the company .,PD,LEAVE,THE,for
the worker left the company the candy .,DO,LEAVE,THE,for
the champion left the beer for the teacher .,PD,LEAVE,THE,for
the champion left the teacher the beer .,DO,LEAVE,THE,for
the physician left the juice for the band .,PD,LEAVE,THE,for
the physician left the band the juice .,DO,LEAVE,THE,for
the manager left the tea for the guest .,PD,LEAVE,THE,for
the manager left the guest the tea .,DO,LEAVE,THE,for
the guest left the motor for the business .,PD,LEAVE,THE,for
the guest left the business the motor .,DO,LEAVE,THE,for
the bishop left the tea for the actor .,PD,LEAVE,THE,for
the bishop left the actor the tea .,DO,LEAVE,THE,for
the actor left the bag for the club .,PD,LEAVE,THE,for
the actor left the club the bag .,DO,LEAVE,THE,for
the princess left the machine for the candidate .,PD,LEAVE,THE,for
the princess left the candidate the machine .,DO,LEAVE,THE,for
the hero left the tea for the club .,PD,LEAVE,THE,for
the hero left the club the tea .,DO,LEAVE,THE,for
the guy left the tea for the business .,PD,LEAVE,THE,for
the guy left the business the tea .,DO,LEAVE,THE,for
the lawyer left the juice for the chief .,PD,LEAVE,THE,for
the lawyer left the chief the juice .,DO,LEAVE,THE,for
the aunt left the coffee for the company .,PD,LEAVE,THE,for
the aunt left the company the coffee .,DO,LEAVE,THE,for
the candidate left the bag for the club .,PD,LEAVE,THE,for
the candidate left the club the bag .,DO,LEAVE,THE,for
a lawyer left a television for a corporation .,PD,LEAVE,A,for
a lawyer left a corporation a television .,DO,LEAVE,A,for
a mother left a beer for a business .,PD,LEAVE,A,for
a mother left a business a beer .,DO,LEAVE,A,for
a writer left a salad for a secretary .,PD,LEAVE,A,for
a writer left a secretary a salad .,DO,LEAVE,A,for
a partner left a beer for a corporation .,PD,LEAVE,A,for
a partner left a corporation a beer .,DO,LEAVE,A,for
an actress left a juice for a scientist .,PD,LEAVE,A,for
an actress left a scientist a juice .,DO,LEAVE,A,for
a worker left an iron for a band .,PD,LEAVE,A,for
a worker left a band an iron .,DO,LEAVE,A,for
a child left a motor for a hero .,PD,LEAVE,A,for
a child left a hero a motor .,DO,LEAVE,A,for
a husband left a salad for a brother .,PD,LEAVE,A,for
a husband left a brother a salad .,DO,LEAVE,A,for
a daughter left a cheese for a company .,PD,LEAVE,A,for
a daughter left a company a cheese .,DO,LEAVE,A,for
a winner left a coffee for an adult .,PD,LEAVE,A,for
a winner left an adult a coffee .,DO,LEAVE,A,for
a husband left a ball for an administration .,PD,LEAVE,A,for
a husband left an administration a ball .,DO,LEAVE,A,for
a cousin left a juice for a brother .,PD,LEAVE,A,for
a cousin left a brother a juice .,DO,LEAVE,A,for
a president left a beer for a company .,PD,LEAVE,A,for
a president left a company a beer .,DO,LEAVE,A,for
a writer left a juice for a company .,PD,LEAVE,A,for
a writer left a company a juice .,DO,LEAVE,A,for
a priest left a computer for a club .,PD,LEAVE,A,for
a priest left a club a computer .,DO,LEAVE,A,for
a reader left a beer for a club .,PD,LEAVE,A,for
a reader left a club a beer .,DO,LEAVE,A,for
a cop left a book for a business .,PD,LEAVE,A,for
a cop left a business a book .,DO,LEAVE,A,for
a worker left a beer for a teacher .,PD,LEAVE,A,for
a worker left a teacher a beer .,DO,LEAVE,A,for
a girl left a juice for an administration .,PD,LEAVE,A,for
a girl left an administration a juice .,DO,LEAVE,A,for
the minister made the bottle for the scientist .,PD,MAKE,THE,for
the minister made the scientist the bottle .,DO,MAKE,THE,for
the daughter made the bottle for the army .,PD,MAKE,THE,for
the daughter made the army the bottle .,DO,MAKE,THE,for
the actress made the camera for the champion .,PD,MAKE,THE,for
the actress made the champion the camera .,DO,MAKE,THE,for
the parent made the box for the club .,PD,MAKE,THE,for
the parent made the club the box .,DO,MAKE,THE,for
the worker made the coat for the club .,PD,MAKE,THE,for
the worker made the club the coat .,DO,MAKE,THE,for
the woman made the flower for the pilot .,PD,MAKE,THE,for
the woman made the pilot the flower .,DO,MAKE,THE,for
the partner made the cup for the mother .,PD,MAKE,THE,for
the partner made the mother the cup .,DO,MAKE,THE,for
the daughter made the card for the brother .,PD,MAKE,THE,for
the daughter made the brother the card .,DO,MAKE,THE,for
the scientist made the wire for the minister .,PD,MAKE,THE,for
the scientist made the minister the wire .,DO,MAKE,THE,for
the mother made the bell for the company .,PD,MAKE,THE,for
the mother made the company the bell .,DO,MAKE,THE,for
the worker made the hat for the opponent .,PD,MAKE,THE,for
the worker made the opponent the hat .,DO,MAKE,THE,for
the leader made the flower for the administration .,PD,MAKE,THE,for
the leader made the administration the flower .,DO,MAKE,THE,for
the partner made the box for the prince .,PD,MAKE,THE,for
the partner made the prince the box .,DO,MAKE,THE,for
the manager made the cigarette for the band .,PD,MAKE,THE,for
the manager made the band the cigarette .,DO,MAKE,THE,for
the president made the knife for the actor .,PD,MAKE,THE,for
the president made the actor the knife .,DO,MAKE,THE,for
the son made the engine for the corporation .,PD,MAKE,THE,for
the son made the corporation the engine .,DO,MAKE,THE,for
the adult made the wire for the army .,PD,MAKE,THE,for
the adult made the army the wire .,DO,MAKE,THE,for
the author made the guitar for the club .,PD,MAKE,THE,for
the author made the club the guitar .,DO,MAKE,THE,for
the partner made the card for the corporation .,PD,MAKE,THE,for
the partner made the corporation the card .,DO,MAKE,THE,for
a friend made a bottle for an army .,PD,MAKE,A,for
a friend made an army a bottle .,DO,MAKE,A,for
a reader made a cigarette for a prince .,PD,MAKE,A,for
a reader made a prince a cigarette .,DO,MAKE,A,for
a father made a telephone for a club .,PD,MAKE,A,for
a father made a club a telephone .,DO,MAKE,A,for
a brother made a telephone for a company .,PD,MAKE,A,for
a brother made a company a telephone .,DO,MAKE,A,for
a secretary made a jacket for a band .,PD,MAKE,A,for
a secretary made a band a jacket .,DO,MAKE,A,for
a candidate made a bowl for a company .,PD,MAKE,A,for
a candidate made a company a bowl .,DO,MAKE,A,for
an attorney made a key for a lawyer .,PD,MAKE,A,for
an attorney made a lawyer a key .,DO,MAKE,A,for
a student made a computer for a cousin .,PD,MAKE,A,for
a student made a cousin a computer .,DO,MAKE,A,for
an opponent made an engine for a writer .,PD,MAKE,A,for
an opponent made a writer an engine .,DO,MAKE,A,for
an employee made an engine for a mayor .,PD,MAKE,A,for
an employee made a mayor an engine .,DO,MAKE,A,for
a chief made a bowl for an actress .,PD,MAKE,A,for
a chief made an actress a bowl .,DO,MAKE,A,for
a bishop made a knife for an administration .,PD,MAKE,A,for
a bishop made an administration a knife .,DO,MAKE,A,for
an actress made a crystal for a company .,PD,MAKE,A,for
an actress made a company a crystal .,DO,MAKE,A,for
a lawyer made a book for a teacher .,PD,MAKE,A,for
a lawyer made a teacher a book .,DO,MAKE,A,for
a cousin made a button for a professor .,PD,MAKE,A,for
a cousin made a professor a button .,DO,MAKE,A,for
a mayor made a key for a doctor .,PD,MAKE,A,for
a mayor made a doctor a key .,DO,MAKE,A,for
a king made a television for a business .,PD,MAKE,A,for
a king made a business a television .,DO,MAKE,A,for
a child made a bottle for a cousin .,PD,MAKE,A,for
a child made a cousin a bottle .,DO,MAKE,A,for
a soldier made an engine for a worker .,PD,MAKE,A,for
a soldier made a worker an engine .,DO,MAKE,A,for
a king made a gun for a hero .,PD,MAKE,A,for
a king made a hero a gun .,DO,MAKE,A,for
a teacher made a television for a pilot .,PD,MAKE,A,for
a teacher made a pilot a television .,DO,MAKE,A,for
an actor made a newspaper for an army .,PD,MAKE,A,for
an actor made an army a newspaper .,DO,MAKE,A,for
the soldier purchased the beer for the club .,PD,PURCHASE,THE,for
the soldier purchased the club the beer .,DO,PURCHASE,THE,for
the singer purchased the anchor for the club .,PD,PURCHASE,THE,for
the singer purchased the club the anchor .,DO,PURCHASE,THE,for
the priest purchased the beer for the nurse .,PD,PURCHASE,THE,for
the priest purchased the nurse the beer .,DO,PURCHASE,THE,for
the pilot purchased the crystal for the club .,PD,PURCHASE,THE,for
the pilot purchased the club the crystal .,DO,PURCHASE,THE,for
the nurse purchased the candy for the company .,PD,PURCHASE,THE,for
the nurse purchased the company the candy .,DO,PURCHASE,THE,for
the husband purchased the cheese for the administration .,PD,PURCHASE,THE,for
the husband purchased the administration the cheese .,DO,PURCHASE,THE,for
the uncle purchased the coffee for the company .,PD,PURCHASE,THE,for
the uncle purchased the company the coffee .,DO,PURCHASE,THE,for
the soldier purchased the cheese for the buddy .,PD,PURCHASE,THE,for
the soldier purchased the buddy the cheese .,DO,PURCHASE,THE,for
the lawyer purchased the meal for the writer .,PD,PURCHASE,THE,for
the lawyer purchased the writer the meal .,DO,PURCHASE,THE,for
the boy purchased the chocolate for the cousin .,PD,PURCHASE,THE,for
the boy purchased the cousin the chocolate .,DO,PURCHASE,THE,for
the pilot purchased the ball for the king .,PD,PURCHASE,THE,for
the pilot purchased the king the ball .,DO,PURCHASE,THE,for
the candidate purchased the salad for the corporation .,PD,PURCHASE,THE,for
the candidate purchased the corporation the salad .,DO,PURCHASE,THE,for
the cop purchased the tea for the aunt .,PD,PURCHASE,THE,for
the cop purchased the aunt the tea .,DO,PURCHASE,THE,for
the scientist purchased the cheese for the company .,PD,PURCHASE,THE,for
the scientist purchased the company the cheese .,DO,PURCHASE,THE,for
the champion purchased the cheese for the club .,PD,PURCHASE,THE,for
the champion purchased the club the cheese .,DO,PURCHASE,THE,for
the friend purchased the button for the captain .,PD,PURCHASE,THE,for
the friend purchased the captain the button .,DO,PURCHASE,THE,for
the kid purchased the jacket for the sheriff .,PD,PURCHASE,THE,for
the kid purchased the sheriff the jacket .,DO,PURCHASE,THE,for
the guest purchased the tea for the actress .,PD,PURCHASE,THE,for
the guest purchased the actress the tea .,DO,PURCHASE,THE,for
the candidate purchased the beer for the administration .,PD,PURCHASE,THE,for
the candidate purchased the administration the beer .,DO,PURCHASE,THE,for
the daughter purchased the juice for the prince .,PD,PURCHASE,THE,for
the daughter purchased the prince the juice .,DO,PURCHASE,THE,for
a prince purchased a candy for an army .,PD,PURCHASE,A,for
a prince purchased an army a candy .,DO,PURCHASE,A,for
an aunt purchased a knife for a daughter .,PD,PURCHASE,A,for
an aunt purchased a daughter a knife .,DO,PURCHASE,A,for
a leader purchased a hat for a business .,PD,PURCHASE,A,for
a leader purchased a business a hat .,DO,PURCHASE,A,for
an employee purchased a bowl for an army .,PD,PURCHASE,A,for
an employee purchased an army a bowl .,DO,PURCHASE,A,for
an actor purchased a beer for an aunt .,PD,PURCHASE,A,for
an actor purchased an aunt a beer .,DO,PURCHASE,A,for
a lawyer purchased a glass for an opponent .,PD,PURCHASE,A,for
a lawyer purchased an opponent a glass .,DO,PURCHASE,A,for
a secretary purchased a cheese for a business .,PD,PURCHASE,A,for
a secretary purchased a business a cheese .,DO,PURCHASE,A,for
a singer purchased a book for a colonel .,PD,PURCHASE,A,for
a singer purchased a colonel a book .,DO,PURCHASE,A,for
a lady purchased a chicken for a corporation .,PD,PURCHASE,A,for
a lady purchased a corporation a chicken .,DO,PURCHASE,A,for
an uncle purchased a computer for an army .,PD,PURCHASE,A,for
an uncle purchased an army a computer .,DO,PURCHASE,A,for
an employer purchased a candy for a company .,PD,PURCHASE,A,for
an employer purchased a company a candy .,DO,PURCHASE,A,for
the minister saved the beer for the buddy .,PD,SAVE,THE,for
the minister saved the buddy the beer .,DO,SAVE,THE,for
the author saved the meal for the company .,PD,SAVE,THE,for
the author saved the company the meal .,DO,SAVE,THE,for
the employer saved the log for the army .,PD,SAVE,THE,for
the employer saved the army the log .,DO,SAVE,THE,for
the cop saved the telephone for the band .,PD,SAVE,THE,for
the cop saved the band the telephone .,DO,SAVE,THE,for
the mayor saved the candy for the minister .,PD,SAVE,THE,for
the mayor saved the minister the candy .,DO,SAVE,THE,for
the girl saved the chicken for the prince .,PD,SAVE,THE,for
the girl saved the prince the chicken .,DO,SAVE,THE,for
the actor saved the candy for the manager .,PD,SAVE,THE,for
the actor saved the manager the candy .,DO,SAVE,THE,for
the child saved the chocolate for the band .,PD,SAVE,THE,for
the child saved the band the chocolate .,DO,SAVE,THE,for
the minister saved the tea for the physician .,PD,SAVE,THE,for
the minister saved the physician the tea .,DO,SAVE,THE,for
the husband saved the coffee for the champion .,PD,SAVE,THE,for
the husband saved the champion the coffee .,DO,SAVE,THE,for
the adult saved the pie for the company .,PD,SAVE,THE,for
the adult saved the company the pie .,DO,SAVE,THE,for
the man saved the juice for the corporation .,PD,SAVE,THE,for
the man saved the corporation the juice .,DO,SAVE,THE,for
the hero saved the beer for the kid .,PD,SAVE,THE,for
the hero saved the kid the beer .,DO,SAVE,THE,for
the chief saved the cheese for the scientist .,PD,SAVE,THE,for
the chief saved the scientist the cheese .,DO,SAVE,THE,for
the wife saved the beer for the minister .,PD,SAVE,THE,for
the wife saved the minister the beer .,DO,SAVE,THE,for
the girl saved the wire for the business .,PD,SAVE,THE,for
the girl saved the business the wire .,DO,SAVE,THE,for
the physician saved the tea for the aunt .,PD,SAVE,THE,for
the physician saved the aunt the tea .,DO,SAVE,THE,for
the employer saved the chicken for the captain .,PD,SAVE,THE,for
the employer saved the captain the chicken .,DO,SAVE,THE,for
a colonel saved a beer for a partner .,PD,SAVE,A,for
a colonel saved a partner a beer .,DO,SAVE,A,for
a daughter saved a bell for a cop .,PD,SAVE,A,for
a daughter saved a cop a bell .,DO,SAVE,A,for
a singer saved a coffee for a business .,PD,SAVE,A,for
a singer saved a business a coffee .,DO,SAVE,A,for
a king saved a machine for a daughter .,PD,SAVE,A,for
a king saved a daughter a machine .,DO,SAVE,A,for
a prince saved a pie for a leader .,PD,SAVE,A,for
a prince saved a leader a pie .,DO,SAVE,A,for
a minister saved a meal for a company .,PD,SAVE,A,for
a minister saved a company a meal .,DO,SAVE,A,for
a father saved a hat for a corporation .,PD,SAVE,A,for
a father saved a corporation a hat .,DO,SAVE,A,for
an opponent saved a wire for a company .,PD,SAVE,A,for
an opponent saved a company a wire .,DO,SAVE,A,for
a manager saved a bell for a minister .,PD,SAVE,A,for
a manager saved a minister a bell .,DO,SAVE,A,for
a scientist saved a coat for a corporation .,PD,SAVE,A,for
a scientist saved a corporation a coat .,DO,SAVE,A,for
a lady saved a salad for a pilot .,PD,SAVE,A,for
a lady saved a pilot a salad .,DO,SAVE,A,for
a partner saved a key for an actress .,PD,SAVE,A,for
a partner saved an actress a key .,DO,SAVE,A,for
a bishop saved a coffee for a guy .,PD,SAVE,A,for
a bishop saved a guy a coffee .,DO,SAVE,A,for
a champion saved a cheese for an army .,PD,SAVE,A,for
a champion saved an army a cheese .,DO,SAVE,A,for
a father saved an iron for a company .,PD,SAVE,A,for
a father saved a company an iron .,DO,SAVE,A,for
a boy saved a chicken for a band .,PD,SAVE,A,for
a boy saved a band a chicken .,DO,SAVE,A,for
a winner saved a salad for a wife .,PD,SAVE,A,for
a winner saved a wife a salad .,DO,SAVE,A,for
the champion sold the cheese to the adult .,PD,SELL,THE,to
the champion sold the adult the cheese .,DO,SELL,THE,to
the uncle sold the pie to the administration .,PD,SELL,THE,to
the uncle sold the administration the pie .,DO,SELL,THE,to
the physician sold the instrument to the club .,PD,SELL,THE,to
the physician sold the club the instrument .,DO,SELL,THE,to
the actress sold the card to the administration .,PD,SELL,THE,to
the actress sold the administration the card .,DO,SELL,THE,to
the guy sold the computer to the writer .,PD,SELL,THE,to
the guy sold the writer the computer .,DO,SELL,THE,to
the winner sold the juice to the club .,PD,SELL,THE,to
the winner sold the club the juice .,DO,SELL,THE,to
the candidate sold the card to the attorney .,PD,SELL,THE,to
the candidate sold the attorney the card .,DO,SELL,THE,to
the kid sold the juice to the priest .,PD,SELL,THE,to
the kid sold the priest the juice .,DO,SELL,THE,to
the brother sold the juice to the secretary .,PD,SELL,THE,to
the brother sold the secretary the juice .,DO,SELL,THE,to
the actor sold the chicken to the captain .,PD,SELL,THE,to
the actor sold the captain the chicken .,DO,SELL,THE,to
the attorney sold the button to the guest .,PD,SELL,THE,to
the attorney sold the guest the button .,DO,SELL,THE,to
the friend sold the guitar to the worker .,PD,SELL,THE,to
the friend sold the worker the guitar .,DO,SELL,THE,to
the soldier sold the meal to the club .,PD,SELL,THE,to
the soldier sold the club the meal .,DO,SELL,THE,to
the hero sold the candy to the army .,PD,SELL,THE,to
the hero sold the army the candy .,DO,SELL,THE,to
the captain sold the tea to the cop .,PD,SELL,THE,to
the captain sold the cop the tea .,DO,SELL,THE,to
the colonel sold the bag to the attorney .,PD,SELL,THE,to
the colonel sold the attorney the bag .,DO,SELL,THE,to
the student sold the gun to the guest .,PD,SELL,THE,to
the student sold the guest the gun .,DO,SELL,THE,to
the colonel sold the salad to the administration .,PD,SELL,THE,to
the colonel sold the administration the salad .,DO,SELL,THE,to
the uncle sold the pie to the band .,PD,SELL,THE,to
the uncle sold the band the pie .,DO,SELL,THE,to
a hero sold a salad to an aunt .,PD,SELL,A,to
a hero sold an aunt a salad .,DO,SELL,A,to
a champion sold a telephone to a cousin .,PD,SELL,A,to
a champion sold a cousin a telephone .,DO,SELL,A,to
a guy sold a plate to an army .,PD,SELL,A,to
a guy sold an army a plate .,DO,SELL,A,to
a partner sold a beer to a guy .,PD,SELL,A,to
a partner sold a guy a beer .,DO,SELL,A,to
a guest sold a coffee to an actress .,PD,SELL,A,to
a guest sold an actress a coffee .,DO,SELL,A,to
an employee sold a chicken to a worker .,PD,SELL,A,to
an employee sold a worker a chicken .,DO,SELL,A,to
a guy sold a cigarette to an actress .,PD,SELL,A,to
a guy sold an actress a cigarette .,DO,SELL,A,to
a champion sold a coffee to a corporation .,PD,SELL,A,to
a champion sold a corporation a coffee .,DO,SELL,A,to
a son sold a jacket to a business .,PD,SELL,A,to
a son sold a business a jacket .,DO,SELL,A,to
a winner sold a pie to an army .,PD,SELL,A,to
a winner sold an army a pie .,DO,SELL,A,to
a woman sold a cheese to a scientist .,PD,SELL,A,to
a woman sold a scientist a cheese .,DO,SELL,A,to
a parent sold a coat to a corporation .,PD,SELL,A,to
a parent sold a corporation a coat .,DO,SELL,A,to
an attorney sold a pot to a lawyer .,PD,SELL,A,to
an attorney sold a lawyer a pot .,DO,SELL,A,to
a professor sold a beer to a mother .,PD,SELL,A,to
a professor sold a mother a beer .,DO,SELL,A,to
a bishop sold a pie to a corporation .,PD,SELL,A,to
a bishop sold a corporation a pie .,DO,SELL,A,to
an aunt sold a candy to a scientist .,PD,SELL,A,to
an aunt sold a scientist a candy .,DO,SELL,A,to
a friend sold an anchor to a child .,PD,SELL,A,to
a friend sold a child an anchor .,DO,SELL,A,to
an employee sold a coffee to a band .,PD,SELL,A,to
an employee sold a band a coffee .,DO,SELL,A,to
a guest sold a pie to a winner .,PD,SELL,A,to
a guest sold a winner a pie .,DO,SELL,A,to
a physician sold a newspaper to an administration .,PD,SELL,A,to
a physician sold an administration a newspaper .,DO,SELL,A,to
an adult sold a card to a company .,PD,SELL,A,to
an adult sold a company a card .,DO,SELL,A,to
the nurse sent the log to the club .,PD,SEND,THE,to
the nurse sent the club the log .,DO,SEND,THE,to
the author sent the juice to the employer .,PD,SEND,THE,to
the author sent the employer the juice .,DO,SEND,THE,to
the opponent sent the pie to the winner .,PD,SEND,THE,to
the opponent sent the winner the pie .,DO,SEND,THE,to
the son sent the computer to the band .,PD,SEND,THE,to
the son sent the band the computer .,DO,SEND,THE,to
the friend sent the cheese to the cousin .,PD,SEND,THE,to
the friend sent the cousin the cheese .,DO,SEND,THE,to
the mother sent the tea to the woman .,PD,SEND,THE,to
the mother sent the woman the tea .,DO,SEND,THE,to
the hero sent the machine to the corporation .,PD,SEND,THE,to
the hero sent the corporation the machine .,DO,SEND,THE,to
the girl sent the camera to the army .,PD,SEND,THE,to
the girl sent the army the camera .,DO,SEND,THE,to
the president sent the engine to the attorney .,PD,SEND,THE,to
the president sent the attorney the engine .,DO,SEND,THE,to
the author sent the instrument to the prince .,PD,SEND,THE,to
the author sent the prince the instrument .,DO,SEND,THE,to
the adult sent the machine to the buddy .,PD,SEND,THE,to
the adult sent the buddy the machine .,DO,SEND,THE,to
the scientist sent the jacket to the company .,PD,SEND,THE,to
the scientist sent the company the jacket .,DO,SEND,THE,to
the employee sent the bottle to the physician .,PD,SEND,THE,to
the employee sent the physician the bottle .,DO,SEND,THE,to
the captain sent the meal to the band .,PD,SEND,THE,to
the captain sent the band the meal .,DO,SEND,THE,to
the son sent the candy to the colonel .,PD,SEND,THE,to
the son sent the colonel the candy .,DO,SEND,THE,to
the lawyer sent the juice to the band .,PD,SEND,THE,to
the lawyer sent the band the juice .,DO,SEND,THE,to
the wife sent the cheese to the candidate .,PD,SEND,THE,to
the wife sent the candidate the cheese .,DO,SEND,THE,to
a cousin sent a cheese to a band .,PD,SEND,A,to
a cousin sent a band a cheese .,DO,SEND,A,to
a sheriff sent a computer to a company .,PD,SEND,A,to
a sheriff sent a company a computer .,DO,SEND,A,to
an attorney sent a book to a corporation .,PD,SEND,A,to
an attorney sent a corporation a book .,DO,SEND,A,to
a king sent a beer to a business .,PD,SEND,A,to
a king sent a business a beer .,DO,SEND,A,to
a physician sent a candy to a bishop .,PD,SEND,A,to
a physician sent a bishop a candy .,DO,SEND,A,to
an aunt sent a tea to a student .,PD,SEND,A,to
an aunt sent a student a tea .,DO,SEND,A,to
