prime_sentence,prime_structure,prime_verb,target_sentence,target_structure,target_verb,perplexity,log_prob
a lawyer supplied a beer to him .,PD,SUPPLY,the bishop kept the key for them .,PD,KEEP,514.4113159179688,-43.7011604309082
a lawyer supplied him a beer .,DO,SUPPLY,the bishop kept the key for them .,PD,KEEP,510.9516906738281,-43.65392303466797
a lawyer supplied a beer to him .,PD,SUPPLY,the bishop kept them the key .,DO,KEEP,2796.654296875,-47.61707305908203
a lawyer supplied him a beer .,DO,SUPPLY,the bishop kept them the key .,DO,KEEP,2781.861083984375,-47.58525085449219
a cousin supplied a cheese to me .,PD,SUPPLY,the bishop kept the key for him .,PD,KEEP,388.4417419433594,-41.73500061035156
a cousin supplied me a cheese .,DO,SUPPLY,the bishop kept the key for him .,PD,KEEP,379.3223571777344,-41.568702697753906
a cousin supplied a cheese to me .,PD,SUPPLY,the bishop kept him the key .,DO,KEEP,1844.24267578125,-45.11894226074219
a cousin supplied me a cheese .,DO,SUPPLY,the bishop kept him the key .,DO,KEEP,1805.2078857421875,-44.99058532714844
the singer threw the coffee to us .,PD,THROW,a father bought a juice for him .,PD,BUY,446.0754699707031,-42.70341491699219
the singer threw us the coffee .,DO,THROW,a father bought a juice for him .,PD,BUY,447.39398193359375,-42.72407531738281
the singer threw the coffee to us .,PD,THROW,a father bought him a juice .,DO,BUY,706.3446044921875,-39.360618591308594
the singer threw us the coffee .,DO,THROW,a father bought him a juice .,DO,BUY,713.7222290039062,-39.4229621887207
the soldier fed the chocolate to me .,PD,FEED,a father bought a juice for us .,PD,BUY,1107.8057861328125,-49.070953369140625
the soldier fed me the chocolate .,DO,FEED,a father bought a juice for us .,PD,BUY,1101.0833740234375,-49.02834701538086
the soldier fed the chocolate to me .,PD,FEED,a father bought us a juice .,DO,BUY,1624.619873046875,-44.35817337036133
the soldier fed me the chocolate .,DO,FEED,a father bought us a juice .,DO,BUY,1629.9521484375,-44.37783432006836
the leader supplied the coffee to her .,PD,SUPPLY,a father bought a juice for him .,PD,BUY,443.7377014160156,-42.66663360595703
the leader supplied her the coffee .,DO,SUPPLY,a father bought a juice for him .,PD,BUY,444.0076599121094,-42.67089080810547
the leader supplied the coffee to her .,PD,SUPPLY,a father bought him a juice .,DO,BUY,700.1361083984375,-39.307647705078125
the leader supplied her the coffee .,DO,SUPPLY,a father bought him a juice .,DO,BUY,708.286865234375,-39.37709426879883
the leader gave the candy to them .,PD,GIVE,a father bought a juice for it .,PD,BUY,522.4230346679688,-43.80934143066406
the leader gave them the candy .,DO,GIVE,a father bought a juice for it .,PD,BUY,518.4967041015625,-43.756534576416016
the leader gave the candy to them .,PD,GIVE,a father bought it a juice .,DO,BUY,1374.5650634765625,-43.35535430908203
the leader gave them the candy .,DO,GIVE,a father bought it a juice .,DO,BUY,1364.2044677734375,-43.309959411621094
the chief threw the newspaper to him .,PD,THROW,a father bought a juice for him .,PD,BUY,450.4620666503906,-42.771915435791016
the chief threw him the newspaper .,DO,THROW,a father bought a juice for him .,PD,BUY,448.22760009765625,-42.73710632324219
the chief threw the newspaper to him .,PD,THROW,a father bought him a juice .,DO,BUY,715.44091796875,-39.43739318847656
the chief threw him the newspaper .,DO,THROW,a father bought him a juice .,DO,BUY,710.5162353515625,-39.39595031738281
the wife promised the iron to you .,PD,PROMISE,a father bought a juice for it .,PD,BUY,513.0596923828125,-43.682743072509766
the wife promised you the iron .,DO,PROMISE,a father bought a juice for it .,PD,BUY,514.7430419921875,-43.70567321777344
the wife promised the iron to you .,PD,PROMISE,a father bought it a juice .,DO,BUY,1330.5810546875,-43.16022491455078
the wife promised you the iron .,DO,PROMISE,a father bought it a juice .,DO,BUY,1346.6943359375,-43.23244857788086
the winner threw the coffee to them .,PD,THROW,a father bought a juice for you .,PD,BUY,1083.61279296875,-48.91638946533203
the winner threw them the coffee .,DO,THROW,a father bought a juice for you .,PD,BUY,1085.87158203125,-48.930965423583984
the winner threw the coffee to them .,PD,THROW,a father bought you a juice .,DO,BUY,2153.0966796875,-46.0479736328125
the winner threw them the coffee .,DO,THROW,a father bought you a juice .,DO,BUY,2178.68212890625,-46.11885070800781
the boy gave the coat to you .,PD,GIVE,a father bought a juice for them .,PD,BUY,541.5226440429688,-44.060691833496094
the boy gave you the coat .,DO,GIVE,a father bought a juice for them .,PD,BUY,553.9984130859375,-44.220130920410156
the boy gave the coat to you .,PD,GIVE,a father bought them a juice .,DO,BUY,1014.0781860351562,-41.53041076660156
the boy gave you the coat .,DO,GIVE,a father bought them a juice .,DO,BUY,1046.71240234375,-41.720455169677734
the writer threw the gun to you .,PD,THROW,a father bought a juice for you .,PD,BUY,1075.810791015625,-48.865806579589844
the writer threw you the gun .,DO,THROW,a father bought a juice for you .,PD,BUY,1080.01318359375,-48.893096923828125
the writer threw the gun to you .,PD,THROW,a father bought you a juice .,DO,BUY,2129.01416015625,-45.98048400878906
the writer threw you the gun .,DO,THROW,a father bought you a juice .,DO,BUY,2149.428466796875,-46.037742614746094
the president promised the bag to you .,PD,PROMISE,a father bought a juice for us .,PD,BUY,1094.0679931640625,-48.983604431152344
the president promised you the bag .,DO,PROMISE,a father bought a juice for us .,PD,BUY,1114.3863525390625,-49.11241149902344
the president promised the bag to you .,PD,PROMISE,a father bought us a juice .,DO,BUY,1607.595458984375,-44.29496765136719
the president promised you the bag .,DO,PROMISE,a father bought us a juice .,DO,BUY,1645.9320068359375,-44.436370849609375
the lawyer promised the gun to you .,PD,PROMISE,a partner left a cheese for me .,PD,LEAVE,1177.9473876953125,-49.50069808959961
the lawyer promised you the gun .,DO,PROMISE,a partner left a cheese for me .,PD,LEAVE,1175.2984619140625,-49.48493957519531
the lawyer promised the gun to you .,PD,PROMISE,a partner left me a cheese .,DO,LEAVE,2229.2802734375,-46.2566032409668
the lawyer promised you the gun .,DO,PROMISE,a partner left me a cheese .,DO,LEAVE,2255.99853515625,-46.328086853027344
the priest brought the chicken to it .,PD,BRING,a partner left a cheese for it .,PD,LEAVE,963.2611694335938,-48.09226989746094
the priest brought it the chicken .,DO,BRING,a partner left a cheese for it .,PD,LEAVE,974.2626953125,-48.1717643737793
the priest brought the chicken to it .,PD,BRING,a partner left it a cheese .,DO,LEAVE,1638.3521728515625,-44.40867614746094
the priest brought it the chicken .,DO,BRING,a partner left it a cheese .,DO,LEAVE,1652.4212646484375,-44.45998001098633
the lady gave the chocolate to it .,PD,GIVE,a partner left a cheese for them .,PD,LEAVE,1023.4607543945312,-48.5166130065918
the lady gave it the chocolate .,DO,GIVE,a partner left a cheese for them .,PD,LEAVE,1027.4244384765625,-48.543670654296875
the lady gave the chocolate to it .,PD,GIVE,a partner left them a cheese .,DO,LEAVE,1694.2711181640625,-44.61004638671875
the lady gave it the chocolate .,DO,GIVE,a partner left them a cheese .,DO,LEAVE,1721.992919921875,-44.70742416381836
the leader sold the chicken to him .,PD,SELL,a partner left a cheese for them .,PD,LEAVE,1029.7530517578125,-48.55951690673828
the leader sold him the chicken .,DO,SELL,a partner left a cheese for them .,PD,LEAVE,1030.0172119140625,-48.56131362915039
the leader sold the chicken to him .,PD,SELL,a partner left them a cheese .,DO,LEAVE,1704.17138671875,-44.64500427246094
the leader sold him the chicken .,DO,SELL,a partner left them a cheese .,DO,LEAVE,1714.57080078125,-44.6815071105957
the minister sent the beer to him .,PD,SEND,a partner left a cheese for me .,PD,LEAVE,1192.7747802734375,-49.588260650634766
the minister sent him the beer .,DO,SEND,a partner left a cheese for me .,PD,LEAVE,1191.254638671875,-49.5793342590332
the minister sent the beer to him .,PD,SEND,a partner left me a cheese .,DO,LEAVE,2297.40283203125,-46.43720626831055
the minister sent him the beer .,DO,SEND,a partner left me a cheese .,DO,LEAVE,2306.963623046875,-46.46212387084961
the daughter brought the cup to you .,PD,BRING,a partner left a cheese for you .,PD,LEAVE,1527.9393310546875,-51.32172393798828
the daughter brought you the cup .,DO,BRING,a partner left a cheese for you .,PD,LEAVE,1564.654052734375,-51.487937927246094
the daughter brought the cup to you .,PD,BRING,a partner left you a cheese .,DO,LEAVE,2750.629638671875,-47.51750946044922
the daughter brought you the cup .,DO,BRING,a partner left you a cheese .,DO,LEAVE,2828.3974609375,-47.684791564941406
the employer fed the salad to it .,PD,FEED,a partner left a cheese for it .,PD,LEAVE,972.8062744140625,-48.161293029785156
the employer fed it the salad .,DO,FEED,a partner left a cheese for it .,PD,LEAVE,974.5414428710938,-48.17376708984375
the employer fed the salad to it .,PD,FEED,a partner left it a cheese .,DO,LEAVE,1640.5556640625,-44.41674041748047
the employer fed it the salad .,DO,FEED,a partner left it a cheese .,DO,LEAVE,1677.687744140625,-44.551029205322266
the lady gave the ball to me .,PD,GIVE,a partner left a cheese for them .,PD,LEAVE,1022.2483520507812,-48.50831604003906
the lady gave me the ball .,DO,GIVE,a partner left a cheese for them .,PD,LEAVE,1024.6812744140625,-48.52495574951172
the lady gave the ball to me .,PD,GIVE,a partner left them a cheese .,DO,LEAVE,1681.6678466796875,-44.56524658203125
the lady gave me the ball .,DO,GIVE,a partner left them a cheese .,DO,LEAVE,1714.029052734375,-44.67961120605469
the physician supplied the chocolate to him .,PD,SUPPLY,a partner left a cheese for us .,PD,LEAVE,1392.52587890625,-50.672119140625
the physician supplied him the chocolate .,DO,SUPPLY,a partner left a cheese for us .,PD,LEAVE,1380.6624755859375,-50.61222839355469
the physician supplied the chocolate to him .,PD,SUPPLY,a partner left us a cheese .,DO,LEAVE,2524.46923828125,-47.002716064453125
the physician supplied him the chocolate .,DO,SUPPLY,a partner left us a cheese .,DO,LEAVE,2533.36083984375,-47.02381134033203
the uncle supplied the coffee to him .,PD,SUPPLY,a partner left a cheese for them .,PD,LEAVE,1036.4130859375,-48.604644775390625
the uncle supplied him the coffee .,DO,SUPPLY,a partner left a cheese for them .,PD,LEAVE,1020.45947265625,-48.496055603027344
the uncle supplied the coffee to him .,PD,SUPPLY,a partner left them a cheese .,DO,LEAVE,1713.255615234375,-44.676902770996094
the uncle supplied him the coffee .,DO,SUPPLY,a partner left them a cheese .,DO,LEAVE,1709.2723388671875,-44.66293716430664
the adult saved the camera for him .,PD,SAVE,a student took a machine to them .,PD,TAKE,566.9417724609375,-44.38179397583008
the adult saved him the camera .,DO,SAVE,a student took a machine to them .,PD,TAKE,561.7195434570312,-44.3170166015625
the adult saved the camera for him .,PD,SAVE,a student took them a machine .,DO,TAKE,1416.7547607421875,-43.5367431640625
the adult saved him the camera .,DO,SAVE,a student took them a machine .,DO,TAKE,1378.0792236328125,-43.37067413330078
the daughter found the meal for him .,PD,FIND,a student took a machine to them .,PD,TAKE,570.5734252929688,-44.426490783691406
the daughter found him the meal .,DO,FIND,a student took a machine to them .,PD,TAKE,551.677734375,-44.19074630737305
the daughter found the meal for him .,PD,FIND,a student took them a machine .,DO,TAKE,1425.3321533203125,-43.572959899902344
the daughter found him the meal .,DO,FIND,a student took them a machine .,DO,TAKE,1341.8177490234375,-43.2106819152832
the hero found the jacket for you .,PD,FIND,a student took a machine to you .,PD,TAKE,850.8248291015625,-47.22344207763672
the hero found you the jacket .,DO,FIND,a student took a machine to you .,PD,TAKE,843.3231811523438,-47.16144943237305
the hero found the jacket for you .,PD,FIND,a student took you a machine .,DO,TAKE,1920.673828125,-45.362586975097656
the hero found you the jacket .,DO,FIND,a student took you a machine .,DO,TAKE,1865.4776611328125,-45.1876335144043
the leader saved the cigarette for it .,PD,SAVE,a student took a machine to them .,PD,TAKE,558.8162231445312,-44.28074264526367
the leader saved it the cigarette .,DO,SAVE,a student took a machine to them .,PD,TAKE,551.7941284179688,-44.192222595214844
the leader saved the cigarette for it .,PD,SAVE,a student took them a machine .,DO,TAKE,1388.50439453125,-43.4158935546875
the leader saved it the cigarette .,DO,SAVE,a student took them a machine .,DO,TAKE,1339.2005615234375,-43.19896697998047
the champion made the motor for it .,PD,MAKE,a student took a machine to me .,PD,TAKE,523.7625732421875,-43.827266693115234
the champion made it the motor .,DO,MAKE,a student took a machine to me .,PD,TAKE,513.6412963867188,-43.690673828125
the champion made the motor for it .,PD,MAKE,a student took me a machine .,DO,TAKE,1822.135498046875,-45.04658508300781
the champion made it the motor .,DO,MAKE,a student took me a machine .,DO,TAKE,1777.670654296875,-44.898353576660156
the scientist caught the cup for you .,PD,CATCH,a student took a machine to me .,PD,TAKE,515.828125,-43.72041320800781
the scientist caught you the cup .,DO,CATCH,a student took a machine to me .,PD,TAKE,515.3316650390625,-43.71367263793945
the scientist caught the cup for you .,PD,CATCH,a student took me a machine .,DO,TAKE,1800.32763671875,-44.974342346191406
the scientist caught you the cup .,DO,CATCH,a student took me a machine .,DO,TAKE,1786.1925048828125,-44.92704772949219
the manager purchased the log for you .,PD,PURCHASE,a student took a machine to her .,PD,TAKE,558.718505859375,-44.279518127441406
the manager purchased you the log .,DO,PURCHASE,a student took a machine to her .,PD,TAKE,558.09765625,-44.27173614501953
the manager purchased the log for you .,PD,PURCHASE,a student took her a machine .,DO,TAKE,2081.0126953125,-45.843658447265625
the manager purchased you the log .,DO,PURCHASE,a student took her a machine .,DO,TAKE,2071.958984375,-45.81749725341797
the band designed the cup for him .,PD,DESIGN,a student took a machine to me .,PD,TAKE,528.6272583007812,-43.89198303222656
the band designed him the cup .,DO,DESIGN,a student took a machine to me .,PD,TAKE,521.2775268554688,-43.793975830078125
the band designed the cup for him .,PD,DESIGN,a student took me a machine .,DO,TAKE,1851.8631591796875,-45.14368438720703
the band designed him the cup .,DO,DESIGN,a student took me a machine .,DO,TAKE,1807.542724609375,-44.99834060668945
the parent bought the salad for him .,PD,BUY,a student took a machine to you .,PD,TAKE,864.0227661132812,-47.33119201660156
the parent bought him the salad .,DO,BUY,a student took a machine to you .,PD,TAKE,850.1583862304688,-47.21795654296875
the parent bought the salad for him .,PD,BUY,a student took you a machine .,DO,TAKE,1948.9251708984375,-45.450199127197266
the parent bought him the salad .,DO,BUY,a student took you a machine .,DO,TAKE,1894.5655517578125,-45.28046798706055
the guest caught the television for him .,PD,CATCH,a student took a machine to me .,PD,TAKE,524.00634765625,-43.83052444458008
the guest caught him the television .,DO,CATCH,a student took a machine to me .,PD,TAKE,517.4608154296875,-43.74253463745117
the guest caught the television for him .,PD,CATCH,a student took me a machine .,DO,TAKE,1836.5621337890625,-45.093902587890625
the guest caught him the television .,DO,CATCH,a student took me a machine .,DO,TAKE,1808.37841796875,-45.00111389160156
the guest made the jacket for him .,PD,MAKE,a partner promised a beer to them .,PD,PROMISE,699.4302368164062,-45.85186004638672
the guest made him the jacket .,DO,MAKE,a partner promised a beer to them .,PD,PROMISE,711.3104248046875,-45.96976089477539
the guest made the jacket for him .,PD,MAKE,a partner promised them a beer .,DO,PROMISE,1146.328369140625,-42.26591491699219
the guest made him the jacket .,DO,MAKE,a partner promised them a beer .,DO,PROMISE,1170.398193359375,-42.390594482421875
the champion bought the pie for him .,PD,BUY,a partner promised a beer to me .,PD,PROMISE,920.82470703125,-47.776885986328125
the champion bought him the pie .,DO,BUY,a partner promised a beer to me .,PD,PROMISE,906.4246826171875,-47.66655349731445
the champion bought the pie for him .,PD,BUY,a partner promised me a beer .,DO,PROMISE,1677.68017578125,-44.551002502441406
the champion bought him the pie .,DO,BUY,a partner promised me a beer .,DO,PROMISE,1649.1593017578125,-44.448123931884766
the professor made the button for it .,PD,MAKE,a partner promised a beer to him .,PD,PROMISE,517.03125,-43.73672103881836
the professor made it the button .,DO,MAKE,a partner promised a beer to him .,PD,PROMISE,535.885498046875,-43.98744201660156
the professor made the button for it .,PD,MAKE,a partner promised him a beer .,DO,PROMISE,938.5484008789062,-41.06600570678711
the professor made it the button .,DO,MAKE,a partner promised him a beer .,DO,PROMISE,972.3209228515625,-41.278114318847656
the leader saved the anchor for you .,PD,SAVE,a partner promised a beer to you .,PD,PROMISE,883.716552734375,-47.48895263671875
the leader saved you the anchor .,DO,SAVE,a partner promised a beer to you .,PD,PROMISE,894.3611450195312,-47.5727653503418
the leader saved the anchor for you .,PD,SAVE,a partner promised you a beer .,DO,PROMISE,2707.0625,-47.421714782714844
the leader saved you the anchor .,DO,SAVE,a partner promised you a beer .,DO,PROMISE,2738.122802734375,-47.49016571044922
the adult caught the newspaper for me .,PD,CATCH,a partner promised a beer to us .,PD,PROMISE,1049.072265625,-48.68962860107422
the adult caught me the newspaper .,DO,CATCH,a partner promised a beer to us .,PD,PROMISE,1056.0035400390625,-48.73572540283203
the adult caught the newspaper for me .,PD,CATCH,a partner promised us a beer .,DO,PROMISE,2467.27001953125,-46.865203857421875
the adult caught me the newspaper .,DO,CATCH,a partner promised us a beer .,DO,PROMISE,2488.306884765625,-46.91614532470703
the husband caught the book for us .,PD,CATCH,a partner promised a beer to me .,PD,PROMISE,908.6764526367188,-47.683921813964844
the husband caught us the book .,DO,CATCH,a partner promised a beer to me .,PD,PROMISE,918.098876953125,-47.756134033203125
the husband caught the book for us .,PD,CATCH,a partner promised me a beer .,DO,PROMISE,1656.697265625,-44.475486755371094
the husband caught us the book .,DO,CATCH,a partner promised me a beer .,DO,PROMISE,1676.3197021484375,-44.54613494873047
the cop found the bag for it .,PD,FIND,a partner promised a beer to him .,PD,PROMISE,515.478515625,-43.715667724609375
the cop found it the bag .,DO,FIND,a partner promised a beer to him .,PD,PROMISE,531.6216430664062,-43.931522369384766
the cop found the bag for it .,PD,FIND,a partner promised him a beer .,DO,PROMISE,937.119873046875,-41.05686569213867
the cop found it the bag .,DO,FIND,a partner promised him a beer .,DO,PROMISE,962.7775268554688,-41.21893310546875
the minister saved the flower for you .,PD,SAVE,a partner promised a beer to you .,PD,PROMISE,881.0602416992188,-47.46788024902344
the minister saved you the flower .,DO,SAVE,a partner promised a beer to you .,PD,PROMISE,894.727294921875,-47.57563018798828
the minister saved the flower for you .,PD,SAVE,a partner promised you a beer .,DO,PROMISE,2688.353759765625,-47.380104064941406
the minister saved you the flower .,DO,SAVE,a partner promised you a beer .,DO,PROMISE,2729.842041015625,-47.47199249267578
the guest designed the log for her .,PD,DESIGN,a partner promised a beer to us .,PD,PROMISE,1042.1939697265625,-48.64358139038086
the guest designed her the log .,DO,DESIGN,a partner promised a beer to us .,PD,PROMISE,1048.9803466796875,-48.68901443481445
the guest designed the log for her .,PD,DESIGN,a partner promised us a beer .,DO,PROMISE,2451.265380859375,-46.82615661621094
the guest designed her the log .,DO,DESIGN,a partner promised us a beer .,DO,PROMISE,2467.486572265625,-46.86573028564453
the manager saved the television for me .,PD,SAVE,a partner promised a beer to me .,PD,PROMISE,910.2520141601562,-47.696048736572266
the manager saved me the television .,DO,SAVE,a partner promised a beer to me .,PD,PROMISE,911.6465454101562,-47.706764221191406
the manager saved the television for me .,PD,SAVE,a partner promised me a beer .,DO,PROMISE,1650.5301513671875,-44.45310974121094
the manager saved me the television .,DO,SAVE,a partner promised me a beer .,DO,PROMISE,1658.700927734375,-44.48273849487305
the employee threw the meal to you .,PD,THROW,a buddy left a cheese for you .,PD,LEAVE,1163.360595703125,-49.413475036621094
the employee threw you the meal .,DO,THROW,a buddy left a cheese for you .,PD,LEAVE,1159.98193359375,-49.39311599731445
the employee threw the meal to you .,PD,THROW,a buddy left you a cheese .,DO,LEAVE,2930.849853515625,-47.898284912109375
the employee threw you the meal .,DO,THROW,a buddy left you a cheese .,DO,LEAVE,2901.3935546875,-47.837677001953125
the leader threw the motor to them .,PD,THROW,a buddy left a cheese for it .,PD,LEAVE,908.109130859375,-47.67955017089844
the leader threw them the motor .,DO,THROW,a buddy left a cheese for it .,PD,LEAVE,903.0763549804688,-47.640647888183594
the leader threw the motor to them .,PD,THROW,a buddy left it a cheese .,DO,LEAVE,2874.596923828125,-47.782005310058594
the leader threw them the motor .,DO,THROW,a buddy left it a cheese .,DO,LEAVE,2804.431640625,-47.63373565673828
the winner supplied the crystal to me .,PD,SUPPLY,a buddy left a cheese for me .,PD,LEAVE,934.83447265625,-47.88258361816406
the winner supplied me the crystal .,DO,SUPPLY,a buddy left a cheese for me .,PD,LEAVE,933.2869262695312,-47.87098693847656
the winner supplied the crystal to me .,PD,SUPPLY,a buddy left me a cheese .,DO,LEAVE,2255.1611328125,-46.32585906982422
the winner supplied me the crystal .,DO,SUPPLY,a buddy left me a cheese .,DO,LEAVE,2244.94970703125,-46.29862976074219
the doctor promised the meal to us .,PD,PROMISE,a buddy left a cheese for us .,PD,LEAVE,1174.1082763671875,-49.477848052978516
the doctor promised us the meal .,DO,PROMISE,a buddy left a cheese for us .,PD,LEAVE,1160.4150390625,-49.395729064941406
the doctor promised the meal to us .,PD,PROMISE,a buddy left us a cheese .,DO,LEAVE,3341.947509765625,-48.68585205078125
the doctor promised us the meal .,DO,PROMISE,a buddy left us a cheese .,DO,LEAVE,3284.39208984375,-48.58161926269531
the parent promised the instrument to me .,PD,PROMISE,a buddy left a cheese for me .,PD,LEAVE,939.89453125,-47.920372009277344
the parent promised me the instrument .,DO,PROMISE,a buddy left a cheese for me .,PD,LEAVE,938.8267211914062,-47.91241455078125
the parent promised the instrument to me .,PD,PROMISE,a buddy left me a cheese .,DO,LEAVE,2271.406982421875,-46.368927001953125
the parent promised me the instrument .,DO,PROMISE,a buddy left me a cheese .,DO,LEAVE,2264.2294921875,-46.349937438964844
the reader sold the coat to him .,PD,SELL,a buddy left a cheese for us .,PD,LEAVE,1163.1888427734375,-49.41244125366211
the reader sold him the coat .,DO,SELL,a buddy left a cheese for us .,PD,LEAVE,1183.5382080078125,-49.533843994140625
the reader sold the coat to him .,PD,SELL,a buddy left us a cheese .,DO,LEAVE,3281.411376953125,-48.576171875
the reader sold him the coat .,DO,SELL,a buddy left us a cheese .,DO,LEAVE,3333.87646484375,-48.67134475708008
the son brought the chicken to me .,PD,BRING,a buddy left a cheese for us .,PD,LEAVE,1163.817138671875,-49.416221618652344
the son brought me the chicken .,DO,BRING,a buddy left a cheese for us .,PD,LEAVE,1173.9530029296875,-49.47692108154297
the son brought the chicken to me .,PD,BRING,a buddy left us a cheese .,DO,LEAVE,3277.21435546875,-48.5684928894043
the son brought me the chicken .,DO,BRING,a buddy left us a cheese .,DO,LEAVE,3292.717529296875,-48.59680938720703
the girl supplied the juice to you .,PD,SUPPLY,a buddy left a cheese for you .,PD,LEAVE,1158.013916015625,-49.381229400634766
the girl supplied you the juice .,DO,SUPPLY,a buddy left a cheese for you .,PD,LEAVE,1157.306640625,-49.376953125
the girl supplied the juice to you .,PD,SUPPLY,a buddy left you a cheese .,DO,LEAVE,2902.989501953125,-47.84097671508789
the girl supplied you the juice .,DO,SUPPLY,a buddy left you a cheese .,DO,LEAVE,2891.484130859375,-47.8171501159668
the doctor gave the card to her .,PD,GIVE,a buddy left a cheese for you .,PD,LEAVE,1150.2958984375,-49.33441925048828
the doctor gave her the card .,DO,GIVE,a buddy left a cheese for you .,PD,LEAVE,1162.125,-49.406036376953125
the doctor gave the card to her .,PD,GIVE,a buddy left you a cheese .,DO,LEAVE,2855.024169921875,-47.74101257324219
the doctor gave her the card .,DO,GIVE,a buddy left you a cheese .,DO,LEAVE,2902.072509765625,-47.839080810546875
the attorney supplied the candy to them .,PD,SUPPLY,a buddy left a cheese for you .,PD,LEAVE,1157.162841796875,-49.37608337402344
the attorney supplied them the candy .,DO,SUPPLY,a buddy left a cheese for you .,PD,LEAVE,1142.9886474609375,-49.28981018066406
the attorney supplied the candy to them .,PD,SUPPLY,a buddy left you a cheese .,DO,LEAVE,2893.674560546875,-47.821693420410156
the attorney supplied them the candy .,DO,SUPPLY,a buddy left you a cheese .,DO,LEAVE,2843.145263671875,-47.71599578857422
a partner drew a television for you .,PD,DRAW,the captain sold the pie to them .,PD,SELL,568.0027465820312,-44.39488220214844
a partner drew you a television .,DO,DRAW,the captain sold the pie to them .,PD,SELL,543.6266479492188,-44.08783721923828
a partner drew a television for you .,PD,DRAW,the captain sold them the pie .,DO,SELL,1681.4658203125,-44.56452560424805
a partner drew you a television .,DO,DRAW,the captain sold them the pie .,DO,SELL,1595.85400390625,-44.25098419189453
an actor got a ball for us .,PD,GET,the captain sold the pie to you .,PD,SELL,786.7222900390625,-46.67512512207031
an actor got us a ball .,DO,GET,the captain sold the pie to you .,PD,SELL,792.8978271484375,-46.7298583984375
an actor got a ball for us .,PD,GET,the captain sold you the pie .,DO,SELL,2620.067626953125,-47.225730895996094
an actor got us a ball .,DO,GET,the captain sold you the pie .,DO,SELL,2641.02001953125,-47.273521423339844
an author caught a camera for you .,PD,CATCH,the captain sold the pie to them .,PD,SELL,572.920166015625,-44.455223083496094
an author caught you a camera .,DO,CATCH,the captain sold the pie to them .,PD,SELL,569.8477783203125,-44.41758346557617
an author caught a camera for you .,PD,CATCH,the captain sold them the pie .,DO,SELL,1696.133544921875,-44.61663818359375
an author caught you a camera .,DO,CATCH,the captain sold them the pie .,DO,SELL,1682.0506591796875,-44.566612243652344
an opponent found a meal for me .,PD,FIND,the captain sold the pie to him .,PD,SELL,374.9656677246094,-41.48783874511719
an opponent found me a meal .,DO,FIND,the captain sold the pie to him .,PD,SELL,371.4113464355469,-41.42116928100586
an opponent found a meal for me .,PD,FIND,the captain sold him the pie .,DO,SELL,1410.396240234375,-43.5097541809082
an opponent found me a meal .,DO,FIND,the captain sold him the pie .,DO,SELL,1395.9423828125,-43.44794845581055
an attorney saved a beer for me .,PD,SAVE,the captain sold the pie to us .,PD,SELL,885.2859497070312,-47.501373291015625
an attorney saved me a beer .,DO,SAVE,the captain sold the pie to us .,PD,SELL,879.922119140625,-47.458831787109375
an attorney saved a beer for me .,PD,SAVE,the captain sold us the pie .,DO,SELL,2926.63427734375,-47.8896484375
an attorney saved me a beer .,DO,SAVE,the captain sold us the pie .,DO,SELL,2894.3720703125,-47.82313919067383
an attorney delivered a beer for you .,PD,DELIVER,the captain sold the pie to him .,PD,SELL,374.5675964355469,-41.480403900146484
an attorney delivered you a beer .,DO,DELIVER,the captain sold the pie to him .,PD,SELL,367.9844055175781,-41.35628128051758
an attorney delivered a beer for you .,PD,DELIVER,the captain sold him the pie .,DO,SELL,1400.8651123046875,-43.46907043457031
an attorney delivered you a beer .,DO,DELIVER,the captain sold him the pie .,DO,SELL,1384.9364013671875,-43.400455474853516
an actress made a computer for you .,PD,MAKE,the captain sold the pie to you .,PD,SELL,788.7802734375,-46.69341278076172
an actress made you a computer .,DO,MAKE,the captain sold the pie to you .,PD,SELL,780.2891235351562,-46.61764907836914
an actress made a computer for you .,PD,MAKE,the captain sold you the pie .,DO,SELL,2624.15869140625,-47.23509216308594
an actress made you a computer .,DO,MAKE,the captain sold you the pie .,DO,SELL,2594.72607421875,-47.167415618896484
a manager caught a motor for her .,PD,CATCH,the captain sold the pie to it .,PD,SELL,541.8650512695312,-44.06511688232422
a manager caught her a motor .,DO,CATCH,the captain sold the pie to it .,PD,SELL,536.681640625,-43.997833251953125
a manager caught a motor for her .,PD,CATCH,the captain sold it the pie .,DO,SELL,1856.3546142578125,-45.15821838378906
a manager caught her a motor .,DO,CATCH,the captain sold it the pie .,DO,SELL,1844.5908203125,-45.12007522583008
a candidate saved a tea for her .,PD,SAVE,the captain sold the pie to him .,PD,SELL,368.78961181640625,-41.37158203125
a candidate saved her a tea .,DO,SAVE,the captain sold the pie to him .,PD,SELL,365.2456970214844,-41.30398941040039
a candidate saved a tea for her .,PD,SAVE,the captain sold him the pie .,DO,SELL,1370.780029296875,-43.338809967041016
a candidate saved her a tea .,DO,SAVE,the captain sold him the pie .,DO,SELL,1361.6734619140625,-43.2988166809082
a woman left a log for it .,PD,LEAVE,the captain sold the pie to you .,PD,SELL,785.3545532226562,-46.66294479370117
a woman left it a log .,DO,LEAVE,the captain sold the pie to you .,PD,SELL,780.700439453125,-46.621337890625
a woman left a log for it .,PD,LEAVE,the captain sold you the pie .,DO,SELL,2615.4326171875,-47.21510696411133
